test/mae,test/rmse,test/r2,split,target
4.4491281769865054e-09,6.002983443664789e-09,0.4858773052692413,0,Li Diffusivity
4.648846640975535e-09,6.085744796990866e-09,0.4196140170097351,1,Li Diffusivity
4.346104809371809e-09,5.6191993280663155e-09,0.5490863919258118,2,Li Diffusivity
5.006800307683079e-09,6.467814728239318e-09,0.3733804523944855,3,Li Diffusivity
4.720781099365467e-09,6.303063404544673e-09,0.4452742338180542,4,Li Diffusivity
6.115435713383022e-09,8.501759296564161e-09,0.6783364415168762,0,TFSI Diffusivity
6.701657451202436e-09,9.296611480635876e-09,0.6063953638076782,1,TFSI Diffusivity
6.6860716962935385e-09,9.297803416075112e-09,0.6559074521064758,2,TFSI Diffusivity
6.738118507598756e-09,9.154809355038653e-09,0.5926080346107483,3,TFSI Diffusivity
6.964767429451513e-09,1.002031790875435e-08,0.5919249057769775,4,TFSI Diffusivity
1.7701620890875347e-05,2.3890230295364745e-05,0.5201762914657593,0,Conductivity
1.7754253349266946e-05,2.3967608285602186e-05,0.516241729259491,1,Conductivity
1.6949852579273283e-05,2.3096654331311584e-05,0.6200518012046814,2,Conductivity
1.5820316548342817e-05,2.165630939998664e-05,0.6170042157173157,3,Conductivity
1.7126536477007903e-05,2.3327485905610956e-05,0.5620580315589905,4,Conductivity
3.3613769545581813e-09,4.748650805908028e-09,0.8304927349090576,0,Poly Diffusivity
3.630618472527658e-09,5.200899266810666e-09,0.7778850197792053,1,Poly Diffusivity
3.291860339871277e-09,4.690879684687843e-09,0.8483057618141174,2,Poly Diffusivity
3.265153925013919e-09,4.553332821899403e-09,0.8290209770202637,3,Poly Diffusivity
3.299097217634994e-09,4.754161508913057e-09,0.8149032592773438,4,Poly Diffusivity
0.1651151478290558,0.217612087726593,0.3429116606712341,0,Transference Number
0.1826038360595703,0.2408021241426468,0.3140823245048523,1,Transference Number
0.1686755567789077,0.2242314368486404,0.3702634871006012,2,Transference Number
0.1707434207201004,0.2256439328193664,0.446514755487442,3,Transference Number
0.1795941144227981,0.2446868270635604,0.1816039234399795,4,Transference Number
