test/mae,test/rmse,test/r2,split,target
0.1653060466051101,0.2156291007995605,0.3548325896263122,0,Transference Number
0.1686392277479171,0.2236303240060806,0.4084208607673645,1,Transference Number
0.1676734387874603,0.2248578369617462,0.3667401671409607,2,Transference Number
0.1701371371746063,0.2286650538444519,0.4315944015979767,3,Transference Number
0.1608921885490417,0.2218068540096283,0.32750004529953,4,Transference Number
6.37803587721919e-09,8.599387868457598e-09,0.6709064841270447,0,TFSI Diffusivity
6.5919061320585115e-09,9.1070395669135e-09,0.6222840547561646,1,TFSI Diffusivity
6.153047404922063e-09,8.592435207788185e-09,0.7061355113983154,2,TFSI Diffusivity
6.377068650920137e-09,8.603639578552702e-09,0.6401858329772949,3,TFSI Diffusivity
6.412194331062437e-09,8.976782872593958e-09,0.6724945306777954,4,TFSI Diffusivity
4.197235448089032e-09,5.5365401152585045e-09,0.5626698732376099,0,Li Diffusivity
4.5810328863638006e-09,6.009608810586542e-09,0.4340449571609497,1,Li Diffusivity
4.1576213583027766e-09,5.350970777584507e-09,0.5911070108413696,2,Li Diffusivity
4.599559844109535e-09,5.912936806851121e-09,0.4762847423553467,3,Li Diffusivity
4.342001869162004e-09,5.759347221356847e-09,0.5368502140045166,4,Li Diffusivity
1.5679250282119028e-05,2.065872286038939e-05,0.6412037014961243,0,Conductivity
1.5842384527786635e-05,2.152522938558832e-05,0.6098113656044006,1,Conductivity
1.5305256965802982e-05,2.0696363208116964e-05,0.6949195265769958,2,Conductivity
1.4979653315094764e-05,2.0385614334372804e-05,0.6606305837631226,3,Conductivity
1.6287951439153403e-05,2.2746056856703945e-05,0.5836170315742493,4,Conductivity
2.907052376599495e-09,4.3388852510872775e-09,0.8584844470024109,0,Poly Diffusivity
3.2467157851101547e-09,4.66811167498804e-09,0.8210616707801819,1,Poly Diffusivity
3.156256145331326e-09,4.343381210247799e-09,0.869948148727417,2,Poly Diffusivity
3.1210003470505403e-09,4.339720138801795e-09,0.8446871042251587,3,Poly Diffusivity
3.0457685262774703e-09,4.3498178392553655e-09,0.8450495004653931,4,Poly Diffusivity
