test/mae,test/rmse,test/r2,split,target
4.194915081967565e-09,5.452373663672461e-09,0.5758655071258545,0,Li Diffusivity
4.557215049771912e-09,5.883564302422428e-09,0.4575365781784057,1,Li Diffusivity
4.378917228820001e-09,5.4363504808918606e-09,0.5779543519020081,2,Li Diffusivity
4.445754875348484e-09,5.767974986525814e-09,0.5016487836837769,3,Li Diffusivity
4.403905240479844e-09,5.810884662338367e-09,0.5285241603851318,4,Li Diffusivity
2.9815308000280542e-09,4.285257038105783e-09,0.8619610071182251,0,Poly Diffusivity
3.3847371572193193e-09,4.762109817590954e-09,0.8137828707695007,1,Poly Diffusivity
3.190972819311355e-09,4.4256465159264735e-09,0.8649750351905823,2,Poly Diffusivity
3.029062112247516e-09,4.283849275310558e-09,0.8486604690551758,3,Poly Diffusivity
2.9443363303016663e-09,4.150110921585792e-09,0.8589509129524231,4,Poly Diffusivity
1.5035460819490254e-05,2.034491262747906e-05,0.6520212888717651,0,Conductivity
1.6126981790876016e-05,2.1387044398579743e-05,0.6148050427436829,1,Conductivity
1.5851988791837357e-05,2.110177774738986e-05,0.6828502416610718,2,Conductivity
1.5030860595288686e-05,2.0431631128303707e-05,0.6590966582298279,3,Conductivity
1.6807103747851215e-05,2.355699871259276e-05,0.553398072719574,4,Conductivity
6.107356842477429e-09,8.451709554435638e-09,0.6821125745773315,0,TFSI Diffusivity
6.335644009425323e-09,8.7170235474332e-09,0.6539432406425476,1,TFSI Diffusivity
6.315652001376293e-09,8.707544019159741e-09,0.698209285736084,2,TFSI Diffusivity
6.394305085422047e-09,8.761459113770798e-09,0.6268643736839294,3,TFSI Diffusivity
6.4275336164598684e-09,9.080460827703972e-09,0.6648857593536377,4,TFSI Diffusivity
0.1621554493904113,0.2145345658063888,0.3613656759262085,0,Transference Number
0.1684565246105194,0.2246784716844558,0.4028625190258026,1,Transference Number
0.167845070362091,0.2205034792423248,0.3910287618637085,2,Transference Number
0.1690552681684494,0.2258310467004776,0.445596307516098,3,Transference Number
0.1607963591814041,0.2213687449693679,0.3301540613174438,4,Transference Number
