test/mae,test/rmse,test/r2,split,target
0.0721024870872497,0.114158809185028,0.9619793891906738,0,EA vs SHE (eV)
0.0832921862602233,0.1297043561935424,0.9524382948875428,1,EA vs SHE (eV)
0.0475416630506515,0.081478863954544,0.9830424189567566,2,EA vs SHE (eV)
0.0516499429941177,0.08974389731884,0.9764881134033204,3,EA vs SHE (eV)
0.0488058030605316,0.0866312831640243,0.9790489673614502,4,EA vs SHE (eV)
0.0802424699068069,0.1177844256162643,0.926743984222412,0,IP vs SHE (eV)
0.0645269230008125,0.1133729293942451,0.9507821798324584,1,IP vs SHE (eV)
0.0394486896693706,0.0673584714531898,0.9804031252861024,2,IP vs SHE (eV)
0.0436336621642112,0.0800341218709945,0.9740039110183716,3,IP vs SHE (eV)
0.0337188579142093,0.0548244006931781,0.9870038032531738,4,IP vs SHE (eV)
