test/mae,test/rmse,test/r2,split,target
0.0371487438678741,0.0576244071125984,0.9856966137886048,0,IP vs SHE (eV)
0.0394712723791599,0.0614720769226551,0.9844299554824828,1,IP vs SHE (eV)
0.0388596802949905,0.0616570711135864,0.9835087060928344,2,IP vs SHE (eV)
0.0390013493597507,0.0612265765666961,0.984301507472992,3,IP vs SHE (eV)
0.0386408753693103,0.0599317960441112,0.9838394522666932,4,IP vs SHE (eV)
0.0399219430983066,0.0603258125483989,0.989466667175293,0,EA vs SHE (eV)
0.0422176755964756,0.0638483986258506,0.9888238310813904,1,EA vs SHE (eV)
0.040787074714899,0.0641202256083488,0.9879805445671082,2,EA vs SHE (eV)
0.040784902870655,0.0614540316164493,0.9896072149276732,3,EA vs SHE (eV)
0.0413020551204681,0.0632819607853889,0.9888296127319336,4,EA vs SHE (eV)
