test/mae,test/rmse,test/r2,split,target
0.1342057436704635,0.173235073685646,0.8415329456329346,0,IP vs SHE (eV)
0.1445705741643905,0.1911857426166534,0.8600366115570068,1,IP vs SHE (eV)
0.1249278560280799,0.1645611524581909,0.8830348253250122,2,IP vs SHE (eV)
0.1275944709777832,0.1645549088716507,0.8901045322418213,3,IP vs SHE (eV)
0.1243850216269493,0.1625510156154632,0.885752260684967,4,IP vs SHE (eV)
0.13289275765419,0.1751887500286102,0.9104610085487366,0,EA vs SHE (eV)
0.1485465317964553,0.193223163485527,0.894447922706604,1,EA vs SHE (eV)
0.1388453692197799,0.1795464009046554,0.91765695810318,2,EA vs SHE (eV)
0.1307705789804458,0.1740424931049347,0.9115723371505736,3,EA vs SHE (eV)
0.1303605586290359,0.1716606020927429,0.9177383780479432,4,EA vs SHE (eV)
