test/mae,test/rmse,test/r2,split,target
0.1272365599870681,0.1656977236270904,0.8817341923713684,0,IP vs SHE (eV)
0.1301550269126892,0.1723227202892303,0.8776455521583557,1,IP vs SHE (eV)
0.1244728192687034,0.165242314338684,0.8815511465072632,2,IP vs SHE (eV)
0.1227138042449951,0.1643383651971817,0.8869016170501709,3,IP vs SHE (eV)
0.120780736207962,0.1598697006702423,0.885006308555603,4,IP vs SHE (eV)
0.1339054852724075,0.1785061657428741,0.9077711701393129,0,EA vs SHE (eV)
0.1344719678163528,0.1764547973871231,0.914638876914978,1,EA vs SHE (eV)
0.132492795586586,0.1732009053230285,0.9123008847236632,2,EA vs SHE (eV)
0.133191168308258,0.1790215075016021,0.9118056297302246,3,EA vs SHE (eV)
0.132408931851387,0.1760259568691253,0.913570761680603,4,EA vs SHE (eV)
