test/mae,test/rmse,test/r2,split,target
0.0610580779612064,0.0876001268625259,0.95947927236557,0,IP vs SHE (eV)
0.0765972062945365,0.1226875036954879,0.942362666130066,1,IP vs SHE (eV)
0.0606615990400314,0.0883867442607879,0.9662575721740724,2,IP vs SHE (eV)
0.0578943341970443,0.0909322351217269,0.9664421677589417,3,IP vs SHE (eV)
0.0548167489469051,0.0845145285129547,0.9691161513328552,4,IP vs SHE (eV)
0.0660683512687683,0.102745771408081,0.9692016243934632,0,EA vs SHE (eV)
0.0783395394682884,0.1175491139292717,0.9609350562095642,1,EA vs SHE (eV)
0.0642624646425247,0.1009422093629837,0.9739733338356018,2,EA vs SHE (eV)
0.0612545907497406,0.096039205789566,0.9730738401412964,3,EA vs SHE (eV)
0.0630546137690544,0.0982052385807037,0.97307687997818,4,EA vs SHE (eV)
