test/mae,test/rmse,test/r2,split,target
0.0421265661716461,0.0624939166009426,0.9886959195137024,0,EA vs SHE (eV)
0.042113721370697,0.0642448887228965,0.9886845946311952,1,EA vs SHE (eV)
0.0415437333285808,0.0645913854241371,0.9878032207489014,2,EA vs SHE (eV)
0.0404038466513156,0.0614258982241153,0.9896167516708374,3,EA vs SHE (eV)
0.0425359606742858,0.0661797747015953,0.9877831935882568,4,EA vs SHE (eV)
0.0382179021835327,0.0582192279398441,0.9853997826576232,0,IP vs SHE (eV)
0.0393867529928684,0.0615805946290493,0.9843748807907104,1,IP vs SHE (eV)
0.0392332784831523,0.0619884841144084,0.9833309650421144,2,IP vs SHE (eV)
0.037512682378292,0.0604827627539634,0.9846805930137634,3,IP vs SHE (eV)
0.0382955558598041,0.0599799565970897,0.983813464641571,4,IP vs SHE (eV)
