test/mae,test/rmse,test/r2,split,target
4.3532772942000975e-09,5.7540012754486725e-09,0.5276408195495605,0,Li Diffusivity
4.811897991174874e-09,6.164394328322942e-09,0.4045157730579376,1,Li Diffusivity
4.245613194342468e-09,5.309916062401498e-09,0.5973572731018066,2,Li Diffusivity
4.34624958245422e-09,5.616679565889626e-09,0.5274497270584106,3,Li Diffusivity
4.604495007498599e-09,6.027764509752842e-09,0.4926735162734985,4,Li Diffusivity
0.1634789854288101,0.2139794677495956,0.3646662831306457,0,Transference Number
0.1697213053703308,0.2250416427850723,0.4009305238723755,1,Transference Number
0.1616733372211456,0.2161715626716613,0.4147209525108337,2,Transference Number
0.16726616024971,0.2237090617418289,0.4559660851955414,3,Transference Number
0.1609696894884109,0.2214255183935165,0.3298105299472809,4,Transference Number
3.021140670966815e-09,4.375680262569403e-09,0.8560740351676941,0,Poly Diffusivity
3.524022629264323e-09,5.301831862425388e-09,0.7691803574562073,1,Poly Diffusivity
3.2505702574070483e-09,4.587177748760496e-09,0.8549386262893677,2,Poly Diffusivity
3.2330751409404e-09,4.5103489831888055e-09,0.8322338461875916,3,Poly Diffusivity
3.197803133403454e-09,4.757712446235018e-09,0.8146266937255859,4,Poly Diffusivity
1.5062812053656671e-05,2.086773019982502e-05,0.6339069604873657,0,Conductivity
1.6259733456536196e-05,2.2215754142962396e-05,0.5843755602836609,1,Conductivity
1.5525922208325937e-05,2.138241870852653e-05,0.6743583679199219,2,Conductivity
1.5622126738890074e-05,2.1256902982713655e-05,0.6310010552406311,3,Conductivity
1.665540003159549e-05,2.26571337407222e-05,0.5868663191795349,4,Conductivity
6.224804227628056e-09,8.468869161504244e-09,0.6808204054832458,0,TFSI Diffusivity
6.5889795841656e-09,9.03263330798154e-09,0.6284309029579163,1,TFSI Diffusivity
6.262137031143311e-09,8.769183601486931e-09,0.6939214468002319,2,TFSI Diffusivity
6.580440192749393e-09,8.660726358300508e-09,0.6353951096534729,3,TFSI Diffusivity
6.729048429576778e-09,9.331789563304936e-09,0.6460784673690796,4,TFSI Diffusivity
