test/mae,test/rmse,test/r2,split,target
3.062432085698674e-09,4.48844739153742e-09,0.8485601544380188,0,Poly Diffusivity
3.6161447170002235e-09,5.124186852611956e-09,0.7843890190124512,1,Poly Diffusivity
3.244309265681977e-09,4.472322068238554e-09,0.8621119260787964,2,Poly Diffusivity
3.0568130249264414e-09,4.315648727271082e-09,0.8464053273200989,3,Poly Diffusivity
2.961419776070784e-09,4.258864816364394e-09,0.85146164894104,4,Poly Diffusivity
0.1716313809156417,0.2299903184175491,0.2660324871540069,0,Transference Number
0.1808683574199676,0.2476575076580047,0.274471640586853,1,Transference Number
0.1736122965812683,0.2359905689954757,0.3024824857711792,2,Transference Number
0.1754221469163894,0.2328958660364151,0.4103662371635437,3,Transference Number
0.1763182282447815,0.2424753010272979,0.196330726146698,4,Transference Number
6.279834430245046e-09,8.603168843990261e-09,0.6706170439720154,0,TFSI Diffusivity
6.561247545278093e-09,9.235257891759833e-09,0.6115735173225403,1,TFSI Diffusivity
6.317590006688078e-09,8.756353864214361e-09,0.6948164701461792,2,TFSI Diffusivity
6.696798227068257e-09,9.095163733263693e-09,0.5978991985321045,3,TFSI Diffusivity
6.749249159554438e-09,1.0060311694815029e-08,0.5886609554290771,4,TFSI Diffusivity
4.151615495828764e-09,5.4426445572630655e-09,0.5773777365684509,0,Li Diffusivity
5.173043327033611e-09,6.756029513610429e-09,0.2847259044647217,1,Li Diffusivity
4.256728303175805e-09,5.4180167019524106e-09,0.5807962417602539,2,Li Diffusivity
4.580815282650974e-09,5.913077139041434e-09,0.4762598574161529,3,Li Diffusivity
4.320460433859807e-09,5.819420501040895e-09,0.5271379947662354,4,Li Diffusivity
1.615060136828106e-05,2.3019578293315135e-05,0.5545123219490051,0,Conductivity
1.7115600712713785e-05,2.3782144126016647e-05,0.5236994624137878,1,Conductivity
1.6754736861912534e-05,2.3184380552265793e-05,0.6171600818634033,2,Conductivity
1.5909805370029062e-05,2.1696285330108367e-05,0.6155889630317688,3,Conductivity
1.7273843695875257e-05,2.3576401872560385e-05,0.5526620149612427,4,Conductivity
