test/mae,test/rmse,test/r2,split,target
0.1593086421489715,0.2150292247533798,0.3584171831607818,0,Transference Number
0.1676844805479049,0.2233892530202865,0.4096957147121429,1,Transference Number
0.1665360331535339,0.2252531498670578,0.3645115792751312,2,Transference Number
0.1744210124015808,0.2392854541540146,0.377568781375885,3,Transference Number
0.149045243859291,0.2061152756214141,0.4192855358123779,4,Transference Number
6.200919777654691e-09,8.504440707213234e-09,0.678133487701416,0,TFSI Diffusivity
7.353649689179065e-09,9.914214338380134e-09,0.5523614287376404,1,TFSI Diffusivity
6.232839577791083e-09,8.551319652383427e-09,0.7089411616325378,2,TFSI Diffusivity
6.5361556167431445e-09,8.652023986144286e-09,0.6361274123191833,3,TFSI Diffusivity
6.633763316443719e-09,9.443228421446292e-09,0.637575089931488,4,TFSI Diffusivity
4.074751203120286e-09,5.4682969263808445e-09,0.5733845233917236,0,Li Diffusivity
4.9283257474996844e-09,6.45818332145609e-09,0.3464027345180511,1,Li Diffusivity
4.157882926847378e-09,5.296669769450091e-09,0.5993636846542358,2,Li Diffusivity
4.5044670216043414e-09,5.920850920659859e-09,0.4748818874359131,3,Li Diffusivity
4.524887575740877e-09,5.969982730391621e-09,0.502353310585022,4,Li Diffusivity
