test/mae,test/rmse,test/r2,split,target
0.160897895693779,0.2138729244470596,0.3652988076210022,0,Transference Number
0.1732052713632583,0.2291112244129181,0.3790678679943084,1,Transference Number
0.16809843480587,0.2238376587629318,0.3724734485149383,2,Transference Number
0.1744605153799057,0.2374901622533798,0.3868736028671264,3,Transference Number
0.1588016003370285,0.2152698189020156,0.3665554523468017,4,Transference Number
1.5213770893751644e-05,2.085397682094481e-05,0.6343894004821777,0,Conductivity
1.6290228813886642e-05,2.2083078874857165e-05,0.5893250107765198,1,Conductivity
1.654214611335192e-05,2.223649062216282e-05,0.6478248238563538,2,Conductivity
1.6004181816242635e-05,2.158136157959234e-05,0.6196505427360535,3,Conductivity
1.6865917132236063e-05,2.3254364350577816e-05,0.5647991895675659,4,Conductivity
6.298917387681513e-09,8.748131108404777e-09,0.6594234108924866,0,TFSI Diffusivity
6.788525741541207e-09,9.31952293115046e-09,0.6044528484344482,1,TFSI Diffusivity
6.276561048679241e-09,8.459894118573175e-09,0.7151315212249756,2,TFSI Diffusivity
6.321540180209695e-09,8.613646684807463e-09,0.6393483281135559,3,TFSI Diffusivity
6.728131385358438e-09,9.421248670093972e-09,0.6392601728439331,4,TFSI Diffusivity
3.029526629561019e-09,4.398985620213125e-09,0.8545368313789368,0,Poly Diffusivity
3.5641258833152283e-09,5.275881953537009e-09,0.7714343070983887,1,Poly Diffusivity
3.310455243266119e-09,4.567096034691076e-09,0.8562059998512268,2,Poly Diffusivity
3.0272944151477073e-09,4.2444088244053554e-09,0.8514343500137329,3,Poly Diffusivity
2.9998830086697126e-09,4.337293191269964e-09,0.8459405303001404,4,Poly Diffusivity
4.328299496592081e-09,5.741373598766586e-09,0.5297117829322815,0,Li Diffusivity
4.333323477823114e-09,5.768767685765397e-09,0.4784984886646271,1,Li Diffusivity
4.288384314321547e-09,5.367460254035451e-09,0.5885830521583557,2,Li Diffusivity
4.475783743629336e-09,5.756427778891293e-09,0.5036421418190002,3,Li Diffusivity
4.391631946987218e-09,5.815619985582998e-09,0.5277553796768188,4,Li Diffusivity
