test/mae,test/rmse,test/r2,split,target
0.1256871521472931,0.209561675786972,0.8718780875205994,0,EA vs SHE (eV)
0.5640987157821655,0.9849033355712892,0.0126236286014318,1,EA vs SHE (eV)
0.3969817161560058,0.6587722301483154,0.2837870419025421,2,EA vs SHE (eV)
0.3779844939708709,0.5790517926216125,0.2182395607233047,3,EA vs SHE (eV)
0.4335356056690216,0.6293989419937134,0.1389365941286087,4,EA vs SHE (eV)
0.1149263232946395,0.2038771510124206,0.780515193939209,0,IP vs SHE (eV)
0.3700934648513794,0.6116495132446289,0.6558729410171509,1,IP vs SHE (eV)
0.2949783504009247,0.4779897332191467,0.7214386463165283,2,IP vs SHE (eV)
0.3402476906776428,0.4899561405181885,0.7087570428848267,3,IP vs SHE (eV)
0.4271807968616485,0.6345499753952026,0.5025256872177124,4,IP vs SHE (eV)
