test/mae,test/rmse,test/r2,split,target
0.1329981386661529,0.2059218287467956,0.7760906219482422,0,IP vs SHE (eV)
0.3800621926784515,0.610569179058075,0.6570874452590942,1,IP vs SHE (eV)
0.3531313240528106,0.5110805034637451,0.681534469127655,2,IP vs SHE (eV)
0.3074741661548614,0.452318012714386,0.7517845630645752,3,IP vs SHE (eV)
0.4068948030471802,0.5958698391914368,0.5613260269165039,4,IP vs SHE (eV)
0.1310249418020248,0.1996803432703018,0.8836756944656372,0,EA vs SHE (eV)
0.4519799649715423,0.8557330965995789,0.2546296417713165,1,EA vs SHE (eV)
0.3731240034103393,0.6142388582229614,0.377346932888031,2,EA vs SHE (eV)
0.3820533454418182,0.5948325991630554,0.175048679113388,3,EA vs SHE (eV)
0.4629366993904114,0.7036449909210205,-0.0761935412883758,4,EA vs SHE (eV)
