test/mae,test/rmse,test/r2,split,target
0.0484661683440208,0.072913147509098,0.985105574131012,0,EA vs SHE (eV)
0.4879258573055267,0.8153384327888489,0.5490584373474121,1,EA vs SHE (eV)
0.417008638381958,0.6644847393035889,0.5838479995727539,2,EA vs SHE (eV)
0.4449361562728882,0.6694142818450928,0.5560274124145508,3,EA vs SHE (eV)
0.3892988264560699,0.642499566078186,0.5795645713806152,4,EA vs SHE (eV)
0.0445727556943893,0.0675746276974678,0.9799063801765442,0,IP vs SHE (eV)
0.3172501921653747,0.5079290866851807,0.7634929418563843,1,IP vs SHE (eV)
0.2956350743770599,0.4760007560253143,0.7745877504348755,2,IP vs SHE (eV)
0.2893194556236267,0.4833223521709442,0.771094799041748,3,IP vs SHE (eV)
0.2851998209953308,0.4710080921649933,0.7767685651779175,4,IP vs SHE (eV)
