test/mae,test/rmse,test/r2,split,target
0.1213555186986923,0.1597711443901062,0.8876722455024719,0,IP vs SHE (eV)
0.4118673503398895,0.572866678237915,0.6991534233093262,1,IP vs SHE (eV)
0.3957789838314056,0.5400525331497192,0.7098422050476074,2,IP vs SHE (eV)
0.3805405497550964,0.5386718511581421,0.7156649231910706,3,IP vs SHE (eV)
0.386303573846817,0.5329078435897827,0.7142390608787537,4,IP vs SHE (eV)
0.1299312114715576,0.1701834946870803,0.9188576936721802,0,EA vs SHE (eV)
0.5171269774436951,0.8264471888542175,0.5366868376731873,1,EA vs SHE (eV)
0.4403538405895233,0.6868225932121277,0.5553982853889465,2,EA vs SHE (eV)
0.4175017476081848,0.6849663257598877,0.5351588726043701,3,EA vs SHE (eV)
0.4717234671115875,0.6732665300369263,0.5383344292640686,4,EA vs SHE (eV)
