mae,rmse,r2,split,target
0.0620335452258586,0.0901647307243339,0.9784415364265442,0,EA vs SHE (eV)
0.0578735210001468,0.0820299557175029,0.9825052618980408,1,EA vs SHE (eV)
0.0586555190384388,0.0807070487112712,0.9808126091957092,2,EA vs SHE (eV)
0.0598638728260993,0.0818790943363253,0.9819942116737366,3,EA vs SHE (eV)
0.0559293925762176,0.0782064430588526,0.9829109907150269,4,EA vs SHE (eV)
0.0513820201158523,0.074786496129241,0.9764942526817322,0,IP vs SHE (eV)
0.0510170571506023,0.0730845917517167,0.978143572807312,1,IP vs SHE (eV)
0.0473289489746093,0.0679227234669149,0.9799678921699524,2,IP vs SHE (eV)
0.0466508604586124,0.0684289237858547,0.9799128770828248,3,IP vs SHE (eV)
0.0474262610077858,0.0685490667044057,0.979264199733734,4,IP vs SHE (eV)
