mae,rmse,r2,split,target
0.2837175130844116,0.4053707511530977,0.5205928087234497,0,EA vs SHE (eV)
0.3511748611927032,0.4785081512490331,0.3526681065559387,1,EA vs SHE (eV)
0.1818155944347381,0.2478983652281207,0.8430284857749939,2,EA vs SHE (eV)
0.1865894645452499,0.2601071314221982,0.8024932146072388,3,EA vs SHE (eV)
0.2241660505533218,0.3511963527070784,0.6556848287582397,4,EA vs SHE (eV)
0.229718267917633,0.3141400217820347,0.4789084792137146,0,IP vs SHE (eV)
0.2983185350894928,0.3969186180655974,0.3967374563217163,1,IP vs SHE (eV)
0.1704285591840744,0.2373266563136515,0.7567263841629028,2,IP vs SHE (eV)
0.1751260161399841,0.2420666608524225,0.7621911764144897,3,IP vs SHE (eV)
0.1694826185703277,0.2355252412568842,0.7601481080055237,4,IP vs SHE (eV)
