mae,rmse,r2,split,target
0.11793508380651474,0.15871303117569602,0.9332011342048645,0,EA vs SHE (eV)
0.11768534034490585,0.1602798717507947,0.9332085847854614,1,EA vs SHE (eV)
0.11357802152633667,0.1527011969450578,0.9313124418258667,2,EA vs SHE (eV)
0.11527933180332184,0.1576159435823462,0.9332783818244934,3,EA vs SHE (eV)
0.11348675191402435,0.1530120021527916,0.9345841407775879,4,EA vs SHE (eV)
0.11524025350809097,0.1573645596252839,0.8959260582923889,0,IP vs SHE (eV)
0.11009439826011658,0.15028907394072027,0.9075766205787659,1,IP vs SHE (eV)
0.10706733912229538,0.144667284327727,0.9091264605522156,2,IP vs SHE (eV)
0.1103246733546257,0.15023574036976073,0.9031754732131958,3,IP vs SHE (eV)
0.11130674928426743,0.14786653127951455,0.9035155773162842,4,IP vs SHE (eV)
