test/mae,test/rmse,test/r2,split,target
3.0717692833803767e-09,4.249992802130009e-09,0.8642235994338989,0,Poly Diffusivity
3.50799167492255e-09,4.948565557327811e-09,0.7989150881767273,1,Poly Diffusivity
3.349522215145839e-09,4.608737835809506e-09,0.8535718321800232,2,Poly Diffusivity
3.532325987265494e-09,4.821161248003136e-09,0.8083153367042542,3,Poly Diffusivity
3.110741442213793e-09,4.405500853010835e-09,0.8410569429397583,4,Poly Diffusivity
4.138294595890102e-09,5.585382378825443e-09,0.5549198389053345,0,Li Diffusivity
4.655031915490326e-09,6.185935319535929e-09,0.4003467261791229,1,Li Diffusivity
4.405393383422051e-09,5.5596394155088555e-09,0.5585944652557373,2,Li Diffusivity
4.626062199974967e-09,5.9370597327301774e-09,0.472002774477005,3,Li Diffusivity
4.497939354308755e-09,5.91270321592674e-09,0.5118569135665894,4,Li Diffusivity
6.191415380385479e-09,8.481671365245802e-09,0.679854691028595,0,TFSI Diffusivity
6.595417101351586e-09,9.061205119564876e-09,0.6260764598846436,1,TFSI Diffusivity
6.595782586771293e-09,8.773400672623666e-09,0.6936269998550415,2,TFSI Diffusivity
7.527310330601722e-09,1.0383073067998794e-08,0.4759584367275238,3,TFSI Diffusivity
7.2454131583299394e-09,1.0583000253916452e-08,0.5448079109191895,4,TFSI Diffusivity
0.1672800332307815,0.2216097563505172,0.3185476660728454,0,Transference Number
0.1762831360101699,0.2370589673519134,0.3352411687374115,1,Transference Number
0.1656997799873352,0.2244859784841537,0.3688330054283142,2,Transference Number
0.1695711463689804,0.2412668317556381,0.3672181963920593,3,Transference Number
0.1681685596704483,0.2273013889789581,0.2937694787979126,4,Transference Number
1.558199801365845e-05,2.0731713448185474e-05,0.6386637687683105,0,Conductivity
1.685096685832832e-05,2.2866097424412143e-05,0.5596853494644165,1,Conductivity
1.6670262994011864e-05,2.2292064386419952e-05,0.6460622549057007,2,Conductivity
1.771121605997905e-05,2.3635679099243138e-05,0.5437936782836914,3,Conductivity
1.8301099771633744e-05,2.7464679078548215e-05,0.3929425776004791,4,Conductivity
