test/mae,test/rmse,test/r2,split,target
0.1633145660161972,0.2144806236028671,0.3616867661476135,0,Transference Number
0.1794357895851135,0.2412452846765518,0.3115553259849548,1,Transference Number
0.1590236276388168,0.2117176353931427,0.4385902881622314,2,Transference Number
0.1704514175653457,0.2325695157051086,0.4120175838470459,3,Transference Number
0.1668081283569336,0.2269300669431686,0.2960749268531799,4,Transference Number
6.193522139597007e-09,8.359307912542135e-09,1.0,0,TFSI Diffusivity
6.382810724403498e-09,8.810211227228137e-09,1.0,1,TFSI Diffusivity
6.19298035076099e-09,8.434184017858115e-09,1.0,2,TFSI Diffusivity
6.147547360058071e-09,8.439505982948958e-09,1.0,3,TFSI Diffusivity
6.4125429410921705e-09,9.042087079080831e-09,1.0,4,TFSI Diffusivity
4.305499956558378e-09,5.646479728227405e-09,1.0,0,Li Diffusivity
4.596146574442628e-09,5.973557204441704e-09,1.0,1,Li Diffusivity
4.2523851107034716e-09,5.324214402691041e-09,1.0,2,Li Diffusivity
4.582199508718077e-09,5.822256898824207e-09,1.0,3,Li Diffusivity
4.404269837721131e-09,5.891888310571858e-09,1.0,4,Li Diffusivity
1.611087100172881e-05,2.167264028685167e-05,1.0,0,Conductivity
1.6796520867501386e-05,2.247805241495371e-05,1.0,1,Conductivity
1.6046806194935925e-05,2.1595506041194312e-05,1.0,2,Conductivity
1.518185581517173e-05,2.017767110373825e-05,1.0,3,Conductivity
1.701964902167674e-05,2.3700387828284875e-05,1.0,4,Conductivity
2.899013917811999e-09,4.052577828872472e-09,1.0,0,Poly Diffusivity
3.316009244969109e-09,4.808544229462086e-09,1.0,1,Poly Diffusivity
3.203791010264467e-09,4.374546058727446e-09,1.0,2,Poly Diffusivity
3.0049591703829033e-09,4.237548090202381e-09,1.0,3,Poly Diffusivity
2.842685864479222e-09,4.094556249611969e-09,1.0,4,Poly Diffusivity
