dataset,encoder,variant,replicate,model,TFSI Diffusivity_R2,Conductivity_RMSE,Li Diffusivity_RMSE,Poly Diffusivity_MAE,Conductivity_R2,TFSI Diffusivity_RMSE,Transference Number_MAE,Transference Number_RMSE,Li Diffusivity_R2,Conductivity_MAE,Poly Diffusivity_RMSE,Transference Number_R2,TFSI Diffusivity_MAE,Poly Diffusivity_R2,Li Diffusivity_MAE
htpmd,DMPNN,desc,0,Linear,-2.603723749727155,0.0004508784402873,7.103415313363239e-08,6.881060726494605e-08,-151.41939190510544,2.8161216074327362e-08,5.100999087530569,5.1118849496296335,-78.11440097847404,0.0004491900517574,6.959782854378309e-08,-332.875324460346,2.4263309252850663e-08,-37.130756678632885,7.056912996172497e-08
htpmd,DMPNN,desc,0,RF,0.077658744918346,3.305674682151936e-05,7.994067840761914e-09,8.415747700535905e-09,0.1807027264797271,1.4246936090119946e-08,0.21705137828235294,0.27666195016747647,-0.001974776478187,2.4598003327731097e-05,1.1274406170746924e-08,0.02204009597297818,1.1083327056109807e-08,-0.0006251105759627,6.2072543637062675e-09
htpmd,DMPNN,desc,0,XGB,-0.0007090714276289,3.653024103803438e-05,7.994048684517498e-09,8.416562404579485e-09,-0.0005213538931452,1.4839852257537329e-08,0.23839855737354138,0.3060289351004605,-0.0019699744046741,2.5422654817961e-05,1.1274478227742161e-08,-0.19659494413522083,1.145790779459353e-08,-0.0006379010091157,6.207163657588769e-09
htpmd,DMPNN,desc,1,Linear,-62.92229096004336,0.0001708642117313,1.0256077801944685e-07,1.246463025436653e-07,-23.01757366266064,1.1325852874481865e-07,0.9883962796235222,1.0255014357693348,-151.72562572820334,0.0001676808400501,1.251026357554721e-07,-10.88671757202891,1.124253982786493e-07,-140.0293764794171,1.0217770190581733e-07
htpmd,DMPNN,desc,1,RF,0.0908020367250475,3.148065831391046e-05,8.303361489438033e-09,8.111222523029604e-09,0.1847054711676435,1.3507468923264776e-08,0.22660533842689076,0.29466562892228265,-0.0010532747300389,2.35452727394958e-05,1.0583145226404318e-08,0.018594787870290896,1.0574270692713374e-08,-0.0092672423083361,6.3168438213434455e-09
htpmd,DMPNN,desc,1,XGB,-0.0059246119885665,3.4866688769227126e-05,8.303305568775358e-09,8.113578980176177e-09,-0.0001112830702836,1.4207820676182305e-08,0.24105250171651502,0.31977628315012396,-0.0010397911850756,2.3748157053415453e-05,1.0583766320673416e-08,-0.15579789476291017,1.1145936264166895e-08,-0.009385707751413,6.3164455960493605e-09
htpmd,DMPNN,desc,2,Linear,-12.061664243362245,0.0001157325489381,6.511699348615971e-08,8.831061636528224e-08,-9.351599344810952,5.1773143794676384e-08,3.568564212335282,3.57969000413217,-61.51778847016079,0.0001105029446696,8.903942850691704e-08,-171.3114090309009,4.9980814118184856e-08,-63.05508346605349,6.459917488761267e-08
htpmd,DMPNN,desc,2,RF,0.0710391877140137,3.491323242599974e-05,8.239061624252742e-09,8.470400754887053e-09,0.0579443966339392,1.3807147877860832e-08,0.20744293612436973,0.26508230247869263,-0.0008533057890316,2.556351932773109e-05,1.1125220359793789e-08,0.05510257797374041,1.0717578283756744e-08,-1.4086278616654012e-05,6.366653605567719e-09
htpmd,DMPNN,desc,2,XGB,-1.418841113887126e-05,3.597287564749667e-05,8.238747695432422e-09,8.466754044587528e-09,-0.0001076071192505,1.4325452872789882e-08,0.22580359150669538,0.2938582054948126,-0.0007770372220299,2.51908263425761e-05,1.1125181468848784e-08,-0.16117810988791903,1.1147136303904133e-08,-7.094700275267485e-06,6.363787334459885e-09
htpmd,DMPNN,desc,3,Linear,-8.75083524975328,0.0007149288805923,4.6130842120295646e-08,2.09736596038238e-08,-477.7764899173124,4.4696641380306816e-08,0.8215495375276775,0.8625215772143968,-33.56918611148544,0.0007134421111701,2.2365152835004938e-08,-8.424278246176156,4.2600606514764486e-08,-3.6704699377437615,4.543703812799053e-08
htpmd,DMPNN,desc,3,RF,0.0938312360179344,3.080098714781391e-05,7.84600068068697e-09,8.116016725121432e-09,0.1113384194713227,1.3625690655986317e-08,0.21598100923361346,0.2799291945154673,-7.074015782926324e-06,2.3382236907563022e-05,1.035721183235478e-08,0.007330788363410279,1.053893753667723e-08,-0.0016190087238159,6.015068942500923e-09
htpmd,DMPNN,desc,3,XGB,-0.0021098218666635,3.269475507953617e-05,7.845999985251239e-09,8.115199675600279e-09,-0.0012979116906099,1.4328860032494309e-08,0.22877265094828944,0.29561048178252336,-6.896743144357842e-06,2.345884051180744e-05,1.0357092352286025e-08,-0.10700051176225212,1.1030037096791727e-08,-0.0015958996439415,6.015029583388261e-09
htpmd,DMPNN,desc,4,Linear,-151.98415137960868,0.0001790928069166,2.0043594171275333e-08,2.7730629315220816e-08,-28.149499755158924,1.8097209133618402e-07,2.178389311648393,2.19598235137879,-5.203073436482375,0.0001764244976951,2.930767362939732e-08,-54.729728941377765,1.8027954626650345e-07,-6.235070895241516,1.8810718385959213e-08
htpmd,DMPNN,desc,4,RF,0.0513216314939666,3.2041075503236754e-05,8.051209092048608e-09,8.526176876083768e-09,0.0669842169722948,1.4251083454349976e-08,0.21377597118655461,0.28398832977968425,-0.0008705993831643,2.401855031932773e-05,1.090749764288423e-08,0.06796928049584328,1.1056601378877706e-08,-0.0021445142862954,6.2775414199813354e-09
htpmd,DMPNN,desc,4,XGB,-0.0004152058156765,3.324827300037805e-05,8.051256454664508e-09,8.526064522137618e-09,-0.0046458704191933,1.4634521478517689e-08,0.2286103651626914,0.30430195593165316,-0.0008823750031126,2.365309770068545e-05,1.0907481111491702e-08,-0.07013539202067931,1.1466788750204741e-08,-0.0021414765901484,6.277861519913778e-09
htpmd,DMPNN,desc+rdkit,0,Linear,-0.0927698378533652,3.3912829486730953e-05,1.1600306118226233e-08,8.366880750913325e-09,0.1377179630504268,1.5507436394344776e-08,0.4775810810972101,0.5305540390851745,-1.1098910482972473,2.4691095123621983e-05,1.1955383674915912e-08,-2.5965113210499595,1.0853714959221176e-08,-0.125151699029498,8.868162534765072e-09
htpmd,DMPNN,desc+rdkit,0,RF,0.0652532739351233,0.0001393136134755,7.994067840761914e-09,8.415747700535905e-09,-13.551521335145036,1.4342426575557593e-08,0.4614002726453781,0.5099485959356652,-0.001974776478187,0.0001346675416806,1.1274406170746924e-08,-2.322576446989448,1.1451766396606224e-08,-0.0006251105759627,6.2072543637062675e-09
htpmd,DMPNN,desc+rdkit,0,XGB,-0.0007090714276289,3.653024103803438e-05,7.994048684517498e-09,8.416562404579485e-09,-0.0005213538931452,1.4839852257537329e-08,0.3903595866402419,0.4694929647370364,-0.0019699744046741,2.5422654817961e-05,1.127447822774216e-08,-1.8163093633505047,1.145790779459353e-08,-0.0006379010091157,6.207163657588769e-09
htpmd,DMPNN,desc+rdkit,1,Linear,-7.248668459682831,6.328634390608952e-05,9.462319359338597e-09,1.2172099902487374e-08,-2.294935599050496,4.0685220500975334e-08,0.5437635604008971,0.6272587927613761,-0.3000034446347299,5.6062188593808775e-05,1.3836012725333456e-08,-3.4471616328639776,3.8151754449642905e-08,-0.7250376239418226,7.703025685991077e-09
htpmd,DMPNN,desc+rdkit,1,RF,0.1654998283488098,5.2415696960312846e-05,8.303361489438033e-09,8.111222523029609e-09,-1.2602144466449534,1.2940705837147193e-08,0.4699904845176478,0.5238181690541883,-0.0010532747300389,4.686101640336134e-05,1.0583145226404318e-08,-2.1013481005811867,1.0322946593569813e-08,-0.0092672423083361,6.316843821343445e-09
htpmd,DMPNN,desc+rdkit,1,XGB,-0.0059246119885665,3.4866688769227126e-05,8.303305568775358e-09,8.113578980176177e-09,-0.0001112830702836,1.4207820676182305e-08,0.302412095367018,0.37232556472871,-0.0010397911850756,2.3748157053415453e-05,1.0583766320673416e-08,-0.5668777456315859,1.1145936264166895e-08,-0.009385707751413,6.3164455960493605e-09
htpmd,DMPNN,desc+rdkit,2,Linear,-4.354060747957518,4.157912330699408e-05,1.0064917556038704e-08,9.692579575154528e-09,-0.3361249501575323,3.3147205941544104e-08,0.2165482400263057,0.2990119574852642,-0.4936036604075011,2.737344083744472e-05,1.1931923058918357e-08,-0.202265287147199,3.022485464769713e-08,-0.1502964041362968,7.298831055094108e-09
htpmd,DMPNN,desc+rdkit,2,RF,-0.1808992799111122,7.979527174337603e-05,8.239061624252742e-09,8.470400754887053e-09,-3.920970187261721,1.5567243126854418e-08,0.2988766516605042,0.3449013614300515,-0.0008533057890316,7.429039835294123e-05,1.1125220359793789e-08,-0.5996059580371476,1.3039855778073732e-08,-1.4086278616654012e-05,6.366653605567719e-09
htpmd,DMPNN,desc+rdkit,2,XGB,-1.418841113887126e-05,3.597287564749667e-05,8.238747695432422e-09,8.466754044587528e-09,-0.0001076071192505,1.4325452872789882e-08,0.2867162151501979,0.3538720246629827,-0.0007770372220299,2.51908263425761e-05,1.1125181468848784e-08,-0.683897520609674,1.1147136303904133e-08,-7.094700275267485e-06,6.363787334459885e-09
htpmd,DMPNN,desc+rdkit,3,Linear,-1.0873370368769717,6.513891253967418e-05,3.1968747702753e-08,2.5673409190425572e-08,-2.97455161827523,2.067998743739876e-08,0.2766970118853144,0.3681544165478363,-15.601894037357042,5.749707051556363e-05,2.7109728761096533e-08,-0.7169916883818572,1.7338005906979273e-08,-5.862260259061692,2.9684666539846493e-08
htpmd,DMPNN,desc+rdkit,3,RF,0.2206411217334556,7.175251447327185e-05,7.84600068068697e-09,8.116016725121432e-09,-3.822601574482097,1.2636381370938312e-08,0.3165334040336135,0.3671390510474571,-7.074015782926324e-06,6.740271603361351e-05,1.035721183235478e-08,-0.7075338633822312,1.0160166175046717e-08,-0.0016190087238159,6.015068942500923e-09
htpmd,DMPNN,desc+rdkit,3,XGB,-0.0021098218666635,3.269475507953617e-05,7.845999985251239e-09,8.115199675600279e-09,-0.0012979116906099,1.4328860032494309e-08,0.3179652721370389,0.391753163924645,-6.896743144357842e-06,2.345884051180744e-05,1.0357092352286025e-08,-0.9441653045394368,1.1030037096791727e-08,-0.0015958996439415,6.015029583388261e-09
htpmd,DMPNN,desc+rdkit,4,Linear,-0.4811948385017648,4.005681299705072e-05,8.455019887292875e-09,2.066874606304164e-08,-0.4582352948733492,1.7807152553179917e-08,0.4908053479665707,0.5896109248666104,-0.1037862707204659,3.3312341778094435e-05,2.3102856307505755e-08,-3.0175406868986743,1.3094812435128272e-08,-3.4958462609857186,6.666119059890198e-09
htpmd,DMPNN,desc+rdkit,4,RF,0.0263199090167264,7.727933229328873e-05,8.051209092048608e-09,8.526176876083768e-09,-4.427521366007143,1.4437650662729362e-08,0.4432154251226893,0.4966445147086264,-0.0008705993831643,7.28065757310925e-05,1.090749764288423e-08,-1.8504965924183123,1.2192387879644214e-08,-0.0021445142862954,6.277541419981336e-09
htpmd,DMPNN,desc+rdkit,4,XGB,-0.0004152058156765,3.324827300037805e-05,8.051256454664508e-09,8.526064522137618e-09,-0.0046458704191933,1.4634521478517689e-08,0.4406359913114421,0.5031848060850898,-0.0008823750031126,2.365309770068545e-05,1.0907481111491702e-08,-1.9260670767199315,1.146678875020474e-08,-0.0021414765901484,6.277861519913778e-09
