target,split,model,mae,r2,rmse
Conductivity,0,Linear,1.686821425515839e-05,0.5680598566800081,5.137863444548643e-10
Conductivity,0,RF,1.5766629680672266e-05,0.6140128377969032,4.591259602558388e-10
Conductivity,0,XGB,1.689483157104797e-05,0.5279895177432742,5.614494137059206e-10
Conductivity,1,Linear,1.7596638448515574e-05,0.5683253831840269,5.125986986025312e-10
Conductivity,1,RF,1.6852920134453782e-05,0.5734902239624226,5.064656285577306e-10
Conductivity,1,XGB,1.805144329321774e-05,0.5172059303040141,5.733012833707686e-10
Conductivity,2,Linear,1.804726983950603e-05,0.5811889960269838,5.88019651648585e-10
Conductivity,2,RF,1.677928705882353e-05,0.6323457306558182,5.161944966489221e-10
Conductivity,2,XGB,1.7703579437955756e-05,0.5943269811175116,5.69573638189029e-10
Conductivity,3,Linear,1.7853957356386275e-05,0.5067393778416198,6.040200706247263e-10
Conductivity,3,RF,1.5903930991596634e-05,0.6224912979201966,4.6227657884775586e-10
Conductivity,3,XGB,1.6678840547632425e-05,0.5765777824076757,5.184997672327347e-10
Conductivity,4,Linear,1.821421608259978e-05,0.4311877151004907,7.067865109625973e-10
Conductivity,4,RF,1.6993995563025212e-05,0.5363782415356526,5.760803937792075e-10
Conductivity,4,XGB,1.794727788193749e-05,0.46930285281195583,6.594259565000566e-10
TFSI Diffusivity,0,Linear,6.82347899839829e-09,0.6359003049765808,8.181559036521459e-17
TFSI Diffusivity,0,RF,6.558334218487394e-09,0.656811182258275,7.711677904172166e-17
TFSI Diffusivity,0,XGB,6.9441237578168e-09,0.6167038287469384,8.612916452395969e-17
TFSI Diffusivity,1,Linear,6.781452751943613e-09,0.6214505068288765,8.312120325854295e-17
TFSI Diffusivity,1,RF,6.7911039999999995e-09,0.6157293921192444,8.43774351310548e-17
TFSI Diffusivity,1,XGB,6.994249599371957e-09,0.5955623044820668,8.880568723774802e-17
TFSI Diffusivity,2,Linear,7.232430218494954e-09,0.6224341273682394,9.485892551887058e-17
TFSI Diffusivity,2,RF,6.718378050420168e-09,0.67718101893816,8.110442150710118e-17
TFSI Diffusivity,2,XGB,7.232186656109653e-09,0.6320662836079721,9.243896106349713e-17
TFSI Diffusivity,3,Linear,7.055842135910573e-09,0.5811594344865301,8.616578948164319e-17
TFSI Diffusivity,3,RF,6.743901042016807e-09,0.6085342977868162,8.05341078766642e-17
TFSI Diffusivity,3,XGB,7.017875590229403e-09,0.5744410044596481,8.754793551765042e-17
TFSI Diffusivity,4,Linear,7.337496070140638e-09,0.5690733294220809,1.0602939193552267e-16
TFSI Diffusivity,4,RF,6.824346563025212e-09,0.6267820831062587,9.1830168540312e-17
TFSI Diffusivity,4,XGB,7.210397823028229e-09,0.5669198122599713,1.0655926425675765e-16
Li Diffusivity,0,Linear,4.2811727055098245e-09,0.5557293737220294,3.1139751656024884e-17
