target,split,model,mae,mse,r2
Conductivity,0,Linear,1.9188198311086966e-05,6.78659406527026e-10,0.42945108509691754
Conductivity,0,RF,1.770271273326699e-05,5.554122861878869e-10,0.5330649304192326
Conductivity,0,XGB,1.7562507893815637e-05,5.624464354885531e-10,0.5271513216013732
Conductivity,1,Linear,1.98283366554955e-05,6.835938168369582e-10,0.42432530604281715
Conductivity,1,RF,1.878519941679698e-05,6.194268821039294e-10,0.4783621911122694
Conductivity,1,XGB,1.844711835169476e-05,6.346969037661731e-10,0.46550285150061765
Conductivity,2,Linear,1.970518240657993e-05,7.9902603753009e-10,0.43090184819444177
Conductivity,2,RF,1.847133546811346e-05,6.312574791862952e-10,0.5503932940297611
Conductivity,2,XGB,1.8487226507021446e-05,6.412853589315007e-10,0.5432510388822749
Conductivity,3,Linear,1.9301843377116107e-05,7.536193181632213e-10,0.38457221568268274
Conductivity,3,RF,1.829944409190805e-05,6.46947719808906e-10,0.4716833921647121
Conductivity,3,XGB,1.8055862289398453e-05,6.335891463789491e-10,0.4825923976128156
Conductivity,4,Linear,1.9342796443354032e-05,8.010359865157667e-10,0.35533700387658085
Conductivity,4,RF,1.8417865750516294e-05,6.86632646372994e-10,0.4474072744567589
Conductivity,4,XGB,1.8422832702277805e-05,6.844523037507059e-10,0.4491619848956414
TFSI Diffusivity,0,Linear,7.3837707660399145e-09,9.288146680529842e-17,0.5866544067435417
TFSI Diffusivity,0,RF,6.743071314487215e-09,8.03638505322875e-17,0.6423609077548849
TFSI Diffusivity,0,XGB,6.898157846452444e-09,8.253456097267942e-17,0.6327007072258317
TFSI Diffusivity,1,Linear,7.386627559193165e-09,9.776912581613829e-17,0.5547411301257945
TFSI Diffusivity,1,RF,7.0606817234561354e-09,8.896635023961919e-17,0.5948306151471505
TFSI Diffusivity,1,XGB,6.979691076817039e-09,8.832619187129162e-17,0.5977460159880876
TFSI Diffusivity,2,Linear,7.837696948075871e-09,1.0944254335397014e-16,0.5643871237371254
TFSI Diffusivity,2,RF,7.360148460050155e-09,9.864251717015352e-17,0.6073743417372637
TFSI Diffusivity,2,XGB,7.534866473591178e-09,1.0201435068892034e-16,0.5939534721889475
TFSI Diffusivity,3,Linear,7.502134666352304e-09,9.384101659280706e-17,0.5438511653576428
TFSI Diffusivity,3,RF,7.177411037844147e-09,9.111304110035518e-17,0.557111495296462
TFSI Diffusivity,3,XGB,7.123429271200448e-09,9.09284594588477e-17,0.5580087223697295
TFSI Diffusivity,4,Linear,7.692503015042233e-09,1.1052154804323911e-16,0.5508162231624159
TFSI Diffusivity,4,RF,7.118478747320913e-09,1.0172681516010154e-16,0.5865599437550726
TFSI Diffusivity,4,XGB,7.104762882165971e-09,1.0319500494358827e-16,0.5805928989232094
Li Diffusivity,0,Linear,4.66991178931466e-09,3.7135298274514835e-17,0.4701909506639912
Li Diffusivity,0,RF,4.456137677950036e-09,3.456434307376627e-17,0.5068707511256683
Li Diffusivity,0,XGB,4.47131488410184e-09,3.4574616217414795e-17,0.5067241842547121
Li Diffusivity,1,Linear,4.691775318322971e-09,3.628019725684496e-17,0.4314625157259857
Li Diffusivity,1,RF,4.735623554884646e-09,3.7939810047214715e-17,0.4054551576615867
Li Diffusivity,1,XGB,4.633714543473546e-09,3.6055347876783973e-17,0.434986071564876
Li Diffusivity,2,Linear,4.6951061737586306e-09,3.602931866273741e-17,0.4854820166805278
Li Diffusivity,2,RF,4.562987339364362e-09,3.426472635593979e-17,0.5106813406969866
Li Diffusivity,2,XGB,4.497520440446075e-09,3.280737503380403e-17,0.5314930987619193
Li Diffusivity,3,Linear,4.787247794523954e-09,3.855247168332115e-17,0.42251456361406503
Li Diffusivity,3,RF,4.798565560427438e-09,3.7937704286032046e-17,0.4317232914387179
Li Diffusivity,3,XGB,4.776035415621296e-09,3.6908689870174875e-17,0.4471371109175293
Li Diffusivity,4,Linear,4.7192891420445105e-09,3.8271246807947625e-17,0.4656232127784381
Li Diffusivity,4,RF,4.591406462840787e-09,3.794601200120653e-17,0.47016442702189043
Li Diffusivity,4,XGB,4.53255667967483e-09,3.6968355651859185e-17,0.4838153243023654
Poly Diffusivity,0,Linear,4.9675139914632545e-09,4.5613833221430194e-17,0.6571181458005607
Poly Diffusivity,0,RF,3.6605464651938378e-09,2.866292943790867e-17,0.7845390817134735
Poly Diffusivity,0,XGB,3.752802735931199e-09,3.171234136334349e-17,0.7616164737814628
Poly Diffusivity,1,Linear,4.973056221916968e-09,4.481065752549984e-17,0.6320386388455571
Poly Diffusivity,1,RF,3.9636250617153114e-09,3.3656849129663865e-17,0.7236277996841847
Poly Diffusivity,1,XGB,3.9241732014033184e-09,3.214812755796413e-17,0.7360166213123831
Poly Diffusivity,2,Linear,5.136780280577406e-09,5.0720384756133573e-17,0.6503422597936663
Poly Diffusivity,2,RF,4.075221565020384e-09,3.416493483204654e-17,0.7644727269892126
Poly Diffusivity,2,XGB,4.11158275471771e-09,3.40643401191897e-17,0.7651662098983694
Poly Diffusivity,3,Linear,4.9179385976897665e-09,4.2850727288481414e-17,0.6466197722189418
Poly Diffusivity,3,RF,4.016596409823277e-09,3.188394745177105e-17,0.7370603178514816
Poly Diffusivity,3,XGB,4.018415218769984e-09,3.4095231924833056e-17,0.7188243564051652
Poly Diffusivity,4,Linear,5.02383624510641e-09,4.5526549526229574e-17,0.6271658744203938
Poly Diffusivity,4,RF,3.825538494398743e-09,3.2612117542379225e-17,0.7329270402931133
Poly Diffusivity,4,XGB,3.816339824614418e-09,3.331465371971312e-17,0.72717370594008
Transference Number,0,Linear,0.1790493187020651,0.05202452551279894,0.27811859506751024
Transference Number,0,RF,0.17232983520583822,0.04934002343901078,0.31536818282383916
Transference Number,0,XGB,0.17022166962096336,0.04732935513715764,0.3432677944836876
Transference Number,1,Linear,0.18314611751581275,0.05693606841655699,0.32649801901222664
Transference Number,1,RF,0.18310560153558314,0.05564960083650081,0.3417157621360639
Transference Number,1,XGB,0.18111838411383804,0.05562674918718694,0.34198607639396317
Transference Number,2,Linear,0.17310658351752817,0.05324221034235542,0.33315956134854174
Transference Number,2,RF,0.17310780464902878,0.05328904758470538,0.3325729409390388
Transference Number,2,XGB,0.16809062447801693,0.0516993634837416,0.3524831895254058
Transference Number,3,Linear,0.18443940106663753,0.06196588925732152,0.3263854571547973
Transference Number,3,RF,0.18406691049409613,0.060944041591277996,0.3374936887426787
Transference Number,3,XGB,0.1848999647240206,0.0634503390561209,0.3102484020010742
Transference Number,4,Linear,0.18086061898778363,0.05488803932554173,0.2497257355135899
Transference Number,4,RF,0.17953883099325685,0.05476757225842366,0.2513724210444901
Transference Number,4,XGB,0.1730529735725807,0.05031634336483119,0.3122170517734778
