target,split,model,mae,r2,rmse
Conductivity,0,Linear,1.6946494106163506e-05,0.5658266699171777,5.164426867307655e-10
Conductivity,0,RF,1.5815099731092434e-05,0.6141719806279435,4.5893666223695604e-10
Conductivity,0,XGB,1.6684508760391632e-05,0.5513396076677876,5.336748307445022e-10
Conductivity,1,Linear,1.7536436341204396e-05,0.570698159369383,5.097811088316528e-10
Conductivity,1,RF,1.6759445781512605e-05,0.5785654919174026,5.004389231471343e-10
Conductivity,1,XGB,1.806156753660117e-05,0.5010290144334877,5.925108122603711e-10
Conductivity,2,Linear,1.8039661907228146e-05,0.5817034986942174,5.872972788448884e-10
Conductivity,2,RF,1.6741925109243697e-05,0.6376848790944623,5.086982174795385e-10
Conductivity,2,XGB,1.6859824339493797e-05,0.6415223357972603,5.033103457851711e-10
Conductivity,3,Linear,1.7767372640672793e-05,0.5102287235940532,5.997472080179436e-10
Conductivity,3,RF,1.589900077310924e-05,0.6248708283849373,4.59362735547074e-10
Conductivity,3,XGB,1.6597569245552223e-05,0.5799179601867835,5.144095675950509e-10
Conductivity,4,Linear,1.8330861019266236e-05,0.42895716654434846,7.095581136044195e-10
Conductivity,4,RF,1.7019056302521013e-05,0.5364596719052315,5.759792112127809e-10
Conductivity,4,XGB,1.7655879127416995e-05,0.4764367057655571,6.505616770661362e-10
TFSI Diffusivity,0,Linear,6.757902525224455e-09,0.6435796137409384,8.008999930117297e-17
TFSI Diffusivity,0,RF,6.503648806722687e-09,0.6620200211297513,7.594631877160333e-17
TFSI Diffusivity,0,XGB,6.57249986043246e-09,0.6397801007017216,8.094377481005896e-17
TFSI Diffusivity,1,Linear,6.668512167370924e-09,0.6257862383555612,8.216917128384651e-17
TFSI Diffusivity,1,RF,6.786938285714286e-09,0.6136872358875087,8.48258480500679e-17
TFSI Diffusivity,1,XGB,7.068070416044256e-09,0.5741091938863871,9.351632190645008e-17
TFSI Diffusivity,2,Linear,7.109831244704937e-09,0.6285017986443984,9.333449542764912e-17
TFSI Diffusivity,2,RF,6.6888116974789925e-09,0.6795029379007831,8.052106704129345e-17
TFSI Diffusivity,2,XGB,7.1008134570664736e-09,0.6526997149006111,8.725505736864152e-17
TFSI Diffusivity,3,Linear,7.023080452921158e-09,0.5794196767679427,8.652370036628993e-17
TFSI Diffusivity,3,RF,6.684476470588235e-09,0.6142176178262576,7.936490938349778e-17
TFSI Diffusivity,3,XGB,6.94422630619931e-09,0.5748796678156166,8.745769169339866e-17
TFSI Diffusivity,4,Linear,7.191781571469202e-09,0.5906584982039682,1.0071836693514431e-16
TFSI Diffusivity,4,RF,6.820094756302522e-09,0.6272169510269998,9.172316940482891e-17
TFSI Diffusivity,4,XGB,7.194065937420194e-09,0.5569256273057288,1.090183307892801e-16
Li Diffusivity,0,Linear,4.212452379418949e-09,0.5700341269854586,3.013710498578296e-17
Li Diffusivity,0,RF,4.216741478991597e-09,0.5527288869151468,3.135006133775262e-17
Li Diffusivity,0,XGB,4.330133774790155e-09,0.5262281374894597,3.320754798441224e-17
Li Diffusivity,1,Linear,4.431292712998852e-09,0.4724999656205575,3.366146618233346e-17
Li Diffusivity,1,RF,4.565332672268908e-09,0.44463107482832664,3.543986933645918e-17
Li Diffusivity,1,XGB,4.5282767378263554e-09,0.450362075608047,3.5074155826763527e-17
Li Diffusivity,2,Linear,4.354467436090847e-09,0.5584142430871348,3.092221160102956e-17
Li Diffusivity,2,RF,4.208065882352941e-09,0.593338221064575,2.8476646679466214e-17
Li Diffusivity,2,XGB,4.3821086618661034e-09,0.5520685690501743,3.136656985364587e-17
Li Diffusivity,3,Linear,4.567487122829617e-09,0.49225434619430797,3.389669887292431e-17
Li Diffusivity,3,RF,4.421785949579831e-09,0.5106488163404208,3.266869857238723e-17
Li Diffusivity,3,XGB,4.624522815305943e-09,0.46632713245521706,3.562757918699635e-17
Li Diffusivity,4,Linear,4.535824789217955e-09,0.490235450400649,3.650855605666516e-17
Li Diffusivity,4,RF,4.42652625210084e-09,0.5112228917469317,3.50054676612894e-17
Li Diffusivity,4,XGB,4.599865376700337e-09,0.4479432211392207,3.953746072248728e-17
Poly Diffusivity,0,Linear,4.108083500378434e-09,0.7622164450454926,3.163252673086898e-17
Poly Diffusivity,0,RF,3.2791447394957986e-09,0.842852129766667,2.09055004111032e-17
