dataset,encoder,variant,replicate,model,bandgap_chain_R2,bandgap_chain_MAE,bandgap_chain_RMSE
insulator,DMPNN,original,0,Linear,0.07168881280478523,1.1213247185693533,1.3528737570505345
insulator,DMPNN,original,0,RF,0.06182149696990791,1.1187491492890995,1.3600448149894913
insulator,DMPNN,original,0,XGB,-0.1834630593028197,1.2555131767724927,1.5275232650811463
insulator,DMPNN,original,1,Linear,0.10871423245942846,1.1241605256184584,1.364127599078722
insulator,DMPNN,original,1,RF,0.14164881454932066,1.0945777488151651,1.338686906163372
insulator,DMPNN,original,1,XGB,-0.05916358577962555,1.173806144472095,1.4870584204410449
insulator,DMPNN,original,2,Linear,0.014115619848669492,1.1357698596113666,1.4059090773865848
insulator,DMPNN,original,2,RF,0.005080217315240443,1.1295201208530798,1.4123367997417797
insulator,DMPNN,original,2,XGB,-0.2363123333086914,1.2319418217952782,1.5743755730103168
insulator,DMPNN,original,3,Linear,0.11125062528937524,1.103655269619187,1.3476042873782412
insulator,DMPNN,original,3,RF,0.09434117037049816,1.1168997208530806,1.360363725146237
insulator,DMPNN,original,3,XGB,-0.04986319277767581,1.1892541917629151,1.4646676348105976
insulator,DMPNN,original,4,Linear,0.031731951823954385,1.1746289296814616,1.4151128745233803
insulator,DMPNN,original,4,RF,0.01005478715045982,1.1864177938388618,1.4308656622125313
insulator,DMPNN,original,4,XGB,-0.2351148035042958,1.2849230486840433,1.5982582144572988
