dataset,encoder,variant,replicate,model,bandgap_chain_R2,bandgap_chain_MAE,bandgap_chain_RMSE
insulator,wDMPNN,original,0,Linear,0.04336424227423219,1.1523101082707146,1.4066693664511742
insulator,wDMPNN,original,0,RF,0.11430596577073715,1.1033943230024208,1.353507243774159
insulator,wDMPNN,original,0,XGB,-0.108094390366263,1.2172734095566498,1.5139345589577398
insulator,wDMPNN,original,1,Linear,0.07712227952634121,1.1571150831744401,1.3977474697662273
insulator,wDMPNN,original,1,RF,0.1185800072549602,1.1076539041162226,1.3659917691941845
insulator,wDMPNN,original,1,XGB,-0.049045508739093524,1.1876673085145744,1.4902317031216075
insulator,wDMPNN,original,2,Linear,0.06163867690086289,1.1008007001327256,1.3387961256630299
insulator,wDMPNN,original,2,RF,0.08864969111807486,1.0636888721549638,1.3193866030225851
insulator,wDMPNN,original,2,XGB,-0.08387312383046575,1.1482065458865778,1.4388602706259386
insulator,wDMPNN,original,3,Linear,0.09025493392208617,1.1289347974975807,1.3631140069491954
insulator,wDMPNN,original,3,RF,0.10068572010874677,1.1110672334140428,1.3552770083494285
insulator,wDMPNN,original,3,XGB,-0.11374307014298557,1.221353852879799,1.5082204790039646
insulator,wDMPNN,original,4,Linear,0.09300885763458278,1.1395088733626912,1.370075730926894
insulator,wDMPNN,original,4,RF,0.08708767179128551,1.1381399254237285,1.3745406453863365
insulator,wDMPNN,original,4,XGB,-0.10488603502364824,1.2325089415155368,1.5121740910475734
