target,split,model,mae,mse,r2
optical_lumo,0,Linear,0.16315622266246002,0.04552827938125255,0.842622037627793
optical_lumo,0,RF,0.10201534915720227,0.02147109272025613,0.9257807044733155
optical_lumo,0,XGB,0.0959700591197597,0.01909891571502022,0.9339806274342513
optical_lumo,1,Linear,0.1622580232790813,0.045717546131862866,0.8546750003934239
optical_lumo,1,RF,0.10477928511679521,0.022553978133047378,0.9283063694219696
optical_lumo,1,XGB,0.09578917200655385,0.01982692181585668,0.9369750205582266
optical_lumo,2,Linear,0.16115749820860534,0.04503451946878927,0.8471929436125911
optical_lumo,2,RF,0.10254757792548877,0.020516215828363178,0.9303862329182031
optical_lumo,2,XGB,0.09315769891832923,0.017355701104688055,0.9411102054905888
optical_lumo,3,Linear,0.16620837357645768,0.04836276314257358,0.8460635033745418
optical_lumo,3,RF,0.09968368039121882,0.020777107572773842,0.9338674024820641
optical_lumo,3,XGB,0.0925934759048956,0.017349227135789142,0.944778191507182
optical_lumo,4,Linear,0.1603757512209757,0.04456639062129431,0.8548860550679769
optical_lumo,4,RF,0.10748196798352735,0.024844618455024937,0.9191027017427577
optical_lumo,4,XGB,0.0988373966841972,0.021119079398210883,0.9312335398473426
gap,0,Linear,0.17994726490190793,0.05478829132393733,0.7045766083411762
gap,0,RF,0.09038447331118599,0.018546415601679904,0.8999960599653055
gap,0,XGB,0.08235336945869492,0.015758161572008766,0.9150305763254085
gap,1,Linear,0.17912527086236515,0.059093814634713526,0.6965910265171408
gap,1,RF,0.09229215008850034,0.021026274953778585,0.8920435152252506
gap,1,XGB,0.08515779260852775,0.017117477354967468,0.9121126929274949
gap,2,Linear,0.17678973587475588,0.05260397933190811,0.7170474229201438
gap,2,RF,0.09354458260821902,0.01929097272306358,0.8962354081251583
gap,2,XGB,0.08292446075516562,0.015868505665104695,0.914644583368541
gap,3,Linear,0.18337225423447887,0.059926261345422775,0.689043013100664
gap,3,RF,0.09105305608713668,0.02080384461475349,0.8920489833324161
gap,3,XGB,0.0858087071544598,0.0188042703442698,0.9024247614348914
gap,4,Linear,0.17971612957292477,0.05547172525024532,0.7325385189446212
gap,4,RF,0.09402444466805698,0.01994039572087648,0.9038557436554152
gap,4,XGB,0.0828715604431906,0.015354925507093229,0.9259649650502982
homo,0,Linear,0.1253705692047169,0.0292073333011489,0.8745811677766325
homo,0,RF,0.08880829237443413,0.015774224169437953,0.9322641079840485
homo,0,XGB,0.08187960717758949,0.014310116669155217,0.9385511130673818
homo,1,Linear,0.12775621533368758,0.029371063025494467,0.8914162980723179
homo,1,RF,0.09251966684823539,0.018597410960731836,0.9312460796317155
homo,1,XGB,0.08541025818514619,0.016228532508678305,0.94000373309211
homo,2,Linear,0.11945740501888202,0.02786088764660505,0.883617730258448
homo,2,RF,0.09014970096144327,0.016081126399351605,0.9328248972503435
homo,2,XGB,0.08320760204004948,0.014244084716860042,0.9404987044646036
homo,3,Linear,0.12545453172977694,0.02922256697643119,0.88780513889799
homo,3,RF,0.09344479542368207,0.018010249168113755,0.9308528437813547
homo,3,XGB,0.08267205342326774,0.014352795626243996,0.944894987732914
homo,4,Linear,0.12507657813368178,0.029331202970985886,0.8815251340943596
homo,4,RF,0.0920734540922349,0.0177485139597257,0.9283100385114477
homo,4,XGB,0.08206138200677686,0.01450386715806975,0.9414158458360776
lumo,0,Linear,0.17872482647964444,0.05498504950123076,0.8367675182197141
lumo,0,RF,0.09715333639139347,0.022739309413833442,0.932494488169793
lumo,0,XGB,0.08666393802962054,0.017797797923029154,0.9471642064242383
lumo,1,Linear,0.17363417505068177,0.05240301461725866,0.8522169191497626
lumo,1,RF,0.0947460763004837,0.020193174246524587,0.943052713205659
lumo,1,XGB,0.08662313662248837,0.016801580025663926,0.9526174347510408
lumo,2,Linear,0.17397093361038662,0.05422622566762642,0.8398209150428837
lumo,2,RF,0.09932861226374917,0.02092714102055912,0.9381832266920447
lumo,2,XGB,0.0871838949164852,0.017586492712485698,0.9480511823272125
lumo,3,Linear,0.17996282812675593,0.05500181131160444,0.8423572402400363
lumo,3,RF,0.09175646756555685,0.017554434549975004,0.9496865749964882
lumo,3,XGB,0.0824522153668588,0.014111660004779794,0.9595540405870518
lumo,4,Linear,0.175418629226635,0.052147859278587984,0.8508591977179569
lumo,4,RF,0.09841021582193306,0.022269647498326557,0.936309694388501
lumo,4,XGB,0.08908468914889975,0.01848988956340772,0.9471196516646796
spectral_overlap,0,Linear,329.5353129499114,200199.65388453842,0.8888929045707147
spectral_overlap,0,RF,203.48152421205083,105724.1291694699,0.9413250688455981
spectral_overlap,0,XGB,188.83207873733542,89172.15383260873,0.9505111082198542
spectral_overlap,1,Linear,332.59647107073846,214683.13732033517,0.8677883525784511
spectral_overlap,1,RF,209.8787163743125,112469.7593097349,0.9307360030738816
spectral_overlap,1,XGB,196.32311570326686,101968.07346015223,0.937203419211951
spectral_overlap,2,Linear,324.3214478788005,202368.6979182299,0.8831619115589597
spectral_overlap,2,RF,210.05024012305148,107189.36421746659,0.9381139447690686
spectral_overlap,2,XGB,188.75660597603238,90402.29323734937,0.9478060033928459
spectral_overlap,3,Linear,319.2808007883532,182884.0685676048,0.8972367330509387
spectral_overlap,3,RF,202.736142055857,105769.54006952827,0.940567685494013
spectral_overlap,3,XGB,180.7654542194764,92908.80707007299,0.9477941812119551
spectral_overlap,4,Linear,324.93109454829516,203873.80769710193,0.891356891430942
spectral_overlap,4,RF,207.97773669403506,108027.23358001812,0.9424329461502684
spectral_overlap,4,XGB,192.39382648224884,96428.54935473781,0.9486138142263555
delta_homo,0,Linear,0.0575612761718575,0.005981284142377616,0.6015800233608833
delta_homo,0,RF,0.04373553891819326,0.003999723017205134,0.7335740096700458
delta_homo,0,XGB,0.04384719263153767,0.004162234124762952,0.7227489643895444
delta_homo,1,Linear,0.05935566163948852,0.007589342609337702,0.5128237737391331
delta_homo,1,RF,0.04385357505722666,0.005246731385247754,0.663201027013259
delta_homo,1,XGB,0.04315217693571484,0.005105311355636605,0.6722790828990075
delta_homo,2,Linear,0.06029869827985939,0.006855728923142682,0.5279656932148218
delta_homo,2,RF,0.04224643897072234,0.0038309612238259364,0.7362286131960094
delta_homo,2,XGB,0.041015615980884865,0.003638846472287543,0.7494562006024355
delta_homo,3,Linear,0.05813449825628456,0.00715777722743926,0.5170411052202772
delta_homo,3,RF,0.043399027284542493,0.004933687599593666,0.6671077857587039
delta_homo,3,XGB,0.04165737869191936,0.004696783394244678,0.6830924957529473
delta_homo,4,Linear,0.05630065181330313,0.00708937231410437,0.5743515131239023
delta_homo,4,RF,0.04441331611929955,0.005772998195449771,0.6533870929951189
delta_homo,4,XGB,0.0436433232275946,0.005808462378585084,0.6512578105677014
delta_lumo,0,Linear,0.07500010283903208,0.00923779783959412,0.5942618217837179
delta_lumo,0,RF,0.04698606503075174,0.004286424028996918,0.8117337154604675
delta_lumo,0,XGB,0.04434371019618072,0.004018907818446946,0.8234834356639827
delta_lumo,1,Linear,0.0744427238241891,0.009057435063473281,0.6146177774747239
delta_lumo,1,RF,0.04747913034789088,0.0043574363415283335,0.8145966832726439
delta_lumo,1,XGB,0.04481365477486758,0.003964738374639893,0.8313054771199155
delta_lumo,2,Linear,0.07256277601155497,0.009485899199017388,0.5884552679166745
delta_lumo,2,RF,0.047019546221004835,0.004588894836501527,0.8009112835352284
delta_lumo,2,XGB,0.044794265929119864,0.004342440678647772,0.8116036710713781
delta_lumo,3,Linear,0.07234475163068708,0.008714941965782506,0.6097652710573731
delta_lumo,3,RF,0.04591387881044922,0.004077427489230048,0.8174223285375561
delta_lumo,3,XGB,0.043367621237146714,0.003842465880976788,0.827943360102498
delta_lumo,4,Linear,0.07263079915592101,0.009287234407197148,0.6142665075545349
delta_lumo,4,RF,0.04724592767191703,0.004697338594547916,0.8049020039948931
delta_lumo,4,XGB,0.0450792354326322,0.004446289160730341,0.8153290235614354
delta_optical_lumo,0,Linear,0.08356453188909373,0.011442676129833912,0.49471136515028014
delta_optical_lumo,0,RF,0.05129662800220671,0.005038831378078906,0.7774939883486522
delta_optical_lumo,0,XGB,0.04953752635867896,0.004825646113428377,0.7869078780824086
delta_optical_lumo,1,Linear,0.08448119734086354,0.011828491925238034,0.5059518830743062
delta_optical_lumo,1,RF,0.05210962737707396,0.005675605297896966,0.7629433973863866
delta_optical_lumo,1,XGB,0.04962629761554214,0.0051366522305505685,0.7854541916378233
delta_optical_lumo,2,Linear,0.08477299333925577,0.012087581606491845,0.49645432263361433
delta_optical_lumo,2,RF,0.05327780036304688,0.006002648546179258,0.749941069555647
delta_optical_lumo,2,XGB,0.05154139235174525,0.00561844507225079,0.7659462561036267
delta_optical_lumo,3,Linear,0.08164094214128235,0.011084324345119436,0.5130947657178082
delta_optical_lumo,3,RF,0.05161680429281257,0.005286078132822747,0.7677964816295443
delta_optical_lumo,3,XGB,0.04976091803393383,0.0050131509745123355,0.7797854543284185
delta_optical_lumo,4,Linear,0.08290488552773531,0.011982230024342814,0.5014954059347431
delta_optical_lumo,4,RF,0.053214644451685826,0.006004819283655676,0.7501775551502001
delta_optical_lumo,4,XGB,0.051069447054696064,0.0058211985307219626,0.7578168500658556
homo_extrapolated,0,Linear,0.15544008758276892,0.042469473387767735,0.8504396735965657
homo_extrapolated,0,RF,0.12344627655460605,0.031254327434235764,0.8899348864087762
homo_extrapolated,0,XGB,0.10568181735884244,0.024468543105089103,0.9138316771672601
homo_extrapolated,1,Linear,0.15955465848805728,0.04757719660102565,0.8478256958717518
homo_extrapolated,1,RF,0.12387629835965987,0.037517304243384265,0.8800019741835379
homo_extrapolated,1,XGB,0.11433352669708974,0.03335724067137179,0.8933078186726313
homo_extrapolated,2,Linear,0.14683114258938876,0.039470752211804634,0.8585427463863303
