target,split,model,acc,f1_macro,logloss
Class,0,LogReg,0.9564502875924404,0.9301162180444074,0.16816584300206186
Class,0,RF,0.9671322925225966,0.9490423741576748,0.23109840413178995
Class,0,XGB,0.9786359901396877,0.9702524454644863,0.0940065252203569
Class,1,LogReg,0.9498767460969597,0.9210849628367729,0.17245593152430394
Class,1,RF,0.9654889071487264,0.9479252228693807,0.2343709282641121
Class,1,XGB,0.9753492193919474,0.9605034331772879,0.0794465721328615
Class,2,LogReg,0.9416598192276089,0.9267803112334428,0.20148643327565005
Class,2,RF,0.9572719802793755,0.9384131880949882,0.24955493874732076
Class,2,XGB,0.971240755957272,0.9635413462665783,0.09563670802360075
Class,3,LogReg,0.9572719802793755,0.9344444571558075,0.15253331843672888
Class,3,RF,0.9704190632703369,0.9612179767457623,0.22370035975252633
Class,3,XGB,0.9737058340180772,0.9698329246151836,0.07366060045522993
Class,4,LogReg,0.9539852095316351,0.9314089706596935,0.18628477879361438
Class,4,RF,0.9687756778964667,0.9565284639443664,0.22174659137270014
Class,4,XGB,0.9761709120788825,0.9681401313563951,0.08431963853867472
