target,split,model,acc,f1_macro,logloss,roc_auc
phase_label,0,LogReg,0.41754385964912283,0.13999999999999999,2.0247665812063023,
phase_label,0,RF,0.4105263157894737,0.1625,1.204669304065028,
phase_label,0,XGB,0.5473684210526316,0.2807127663284165,1.3007160637907347,
phase_label,1,LogReg,0.07415036045314109,0.029390987875140218,3.2748089557149003,
phase_label,1,RF,0.5499485066941298,0.18727024790975777,2.4212395921976553,
phase_label,1,XGB,0.4191555097837281,0.12890929140190446,2.1647481530139348,
phase_label,2,LogReg,0.3680297397769517,0.22863826232247283,2.132360123204747,
phase_label,2,RF,0.3308550185873606,0.09971988795518208,1.6006141458360568,
phase_label,2,XGB,0.3308550185873606,0.11767620463272639,2.944204455235259,
phase_label,3,LogReg,0.24444444444444444,0.04756700494405412,5.328442200972186,
phase_label,3,RF,0.2654970760233918,0.0572310268917103,3.859319345094668,
phase_label,3,XGB,0.27017543859649124,0.08455059678576388,5.318013992004553,
phase_label,4,LogReg,0.5107913669064749,0.22686332478298046,1.7953585955987998,
phase_label,4,RF,0.381294964028777,0.12109887227904537,2.068118618386101,
phase_label,4,XGB,0.4316546762589928,0.21699319009769832,1.9494341141112803,
