target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.21372572330848388,0.07994339938187307,0.7880044940373632
EA vs SHE (eV),0,RF,0.11489834223820196,0.03104336369371833,0.9176785870513757
EA vs SHE (eV),0,XGB,0.11334119816292686,0.028275682107775563,0.9250179804558605
EA vs SHE (eV),1,Linear,0.2209708512783946,0.08975484472438684,0.7666430950419086
EA vs SHE (eV),1,RF,0.12348492974410859,0.03587063697525089,0.9067386184096927
EA vs SHE (eV),1,XGB,0.12177930769527125,0.03243725302500327,0.9156651989705845
EA vs SHE (eV),2,Linear,0.2130751001301115,0.0764545762978029,0.7747854299228233
EA vs SHE (eV),2,RF,0.11394427273785372,0.026720303859722367,0.9212891884632439
EA vs SHE (eV),2,XGB,0.10988046723783203,0.025121753369546283,0.9259980872476586
EA vs SHE (eV),3,Linear,0.23480290857756295,0.09770793070097761,0.7375805018134969
EA vs SHE (eV),3,RF,0.11819727523674406,0.032557738505664006,0.9125579127564283
EA vs SHE (eV),3,XGB,0.11416519185929624,0.02914500868574286,0.9217236666554705
EA vs SHE (eV),4,Linear,0.21880861110623603,0.08298993974274445,0.7681230702845088
EA vs SHE (eV),4,RF,0.12132011382606261,0.0352084044218391,0.901626429145213
EA vs SHE (eV),4,XGB,0.11607867059171671,0.029798202149476656,0.91674273234948
IP vs SHE (eV),0,Linear,0.18582268005881838,0.058823477687632526,0.7527827049379255
IP vs SHE (eV),0,RF,0.10796794747249831,0.028564373230940333,0.879952573991026
IP vs SHE (eV),0,XGB,0.10473615795073729,0.025973655399607134,0.8908405778919911
IP vs SHE (eV),1,Linear,0.18690740891204113,0.05833519289210605,0.7612971598468572
IP vs SHE (eV),1,RF,0.10995140820763553,0.028116649349609606,0.8849489695224778
IP vs SHE (eV),1,XGB,0.10505925340491352,0.02541831173045905,0.8959903464589457
IP vs SHE (eV),2,Linear,0.17937650644025907,0.05446736917948612,0.7634988967404126
IP vs SHE (eV),2,RF,0.10923596366680671,0.025944671725512118,0.8873464318320261
IP vs SHE (eV),2,XGB,0.10495054618622487,0.023252728373972426,0.8990350369940179
IP vs SHE (eV),3,Linear,0.18187717395551753,0.0566789823461342,0.756857477531502
IP vs SHE (eV),3,RF,0.10705405902106513,0.026504416012892273,0.8863008773415527
IP vs SHE (eV),3,XGB,0.10648587630638665,0.0257141600428129,0.8896909316792873
IP vs SHE (eV),4,Linear,0.1689759973316357,0.04946889584298367,0.7817020012053615
IP vs SHE (eV),4,RF,0.10462812361629903,0.025079289703961342,0.8893292712466667
IP vs SHE (eV),4,XGB,0.1026455184045999,0.023940849331257893,0.894353019015305
