target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.21268136411086477,0.075661870909952,0.7792621338573713
EA vs SHE (eV),0,RF,0.13649230547042965,0.045483148996361196,0.8673063045605518
EA vs SHE (eV),0,XGB,0.1428353452075094,0.04656644202449453,0.8641458779340159
EA vs SHE (eV),1,Linear,0.2310759936187838,0.09043434488544987,0.7443288460224093
EA vs SHE (eV),1,RF,0.13726355255656908,0.04727189593545632,0.8663554183995505
EA vs SHE (eV),1,XGB,0.13724271667991972,0.04485256580126638,0.8731952194512925
EA vs SHE (eV),2,Linear,0.2374147372183897,0.1008645845085322,0.7423606420559626
EA vs SHE (eV),2,RF,0.1338972900239004,0.042561371144277604,0.8912850889312692
EA vs SHE (eV),2,XGB,0.13099257761996574,0.041016482385146255,0.8952312128352833
EA vs SHE (eV),3,Linear,0.2243462902909669,0.09347460485791242,0.7271204015305518
EA vs SHE (eV),3,RF,0.12990548548979627,0.04127219148107211,0.8795144514766483
EA vs SHE (eV),3,XGB,0.13232854013254183,0.04369019389817935,0.8724555981155524
EA vs SHE (eV),4,Linear,0.22342062920511435,0.09066808593745564,0.746889257393202
EA vs SHE (eV),4,RF,0.14346261420328052,0.04814500092662526,0.8655975053256422
EA vs SHE (eV),4,XGB,0.14104582322043782,0.0467969269041673,0.8693608142494529
IP vs SHE (eV),0,Linear,0.18277126124053827,0.05368342392996434,0.7165296447837832
IP vs SHE (eV),0,RF,0.12474626484116871,0.03147500917090238,0.8337991250008686
IP vs SHE (eV),0,XGB,0.12712422752758262,0.03146710925260822,0.8338408397888066
IP vs SHE (eV),1,Linear,0.18901020745595506,0.05997104221508175,0.7703613374163382
IP vs SHE (eV),1,RF,0.13113917206937936,0.04358763072697454,0.8330960267551303
IP vs SHE (eV),1,XGB,0.12693428818066113,0.03991361449474652,0.8471644194779656
IP vs SHE (eV),2,Linear,0.17932470825272315,0.055025042660044106,0.7623365846022563
IP vs SHE (eV),2,RF,0.1131563201848697,0.028534470805576577,0.8767543020344639
IP vs SHE (eV),2,XGB,0.11141583628357413,0.027214253308203026,0.8824565674817109
IP vs SHE (eV),3,Linear,0.19352334950859998,0.06314567237022041,0.7437277320371445
IP vs SHE (eV),3,RF,0.12336268533212275,0.03380013839553995,0.8628245167254178
IP vs SHE (eV),3,XGB,0.12382976096528221,0.03469727913156595,0.8591835341770765
IP vs SHE (eV),4,Linear,0.18451961106829431,0.060369296982394044,0.7389736469433752
IP vs SHE (eV),4,RF,0.11836678776686196,0.03264198766638726,0.8588617157565829
IP vs SHE (eV),4,XGB,0.1143510523570217,0.02965613959257887,0.8717720041390143
