target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.2394794674787611,0.09343973239172854,0.7522146481315446
EA vs SHE (eV),0,RF,0.17059938290504026,0.052027307972494594,0.8620329437729184
EA vs SHE (eV),0,XGB,0.1700154987890279,0.05361872548494398,0.8578127909728361
EA vs SHE (eV),1,Linear,0.24618926748887263,0.10360168891998695,0.7306421781572048
EA vs SHE (eV),1,RF,0.18144644312284566,0.05969360745623055,0.8448004057659032
EA vs SHE (eV),1,XGB,0.17968652843614688,0.058201154128140246,0.8486806897829611
EA vs SHE (eV),2,Linear,0.23875885721518597,0.0909137938832877,0.7321924730345004
EA vs SHE (eV),2,RF,0.1653031097503854,0.046495588323860144,0.8630365317302205
EA vs SHE (eV),2,XGB,0.1636178824122772,0.04525442144337575,0.8666926747489656
EA vs SHE (eV),3,Linear,0.255641803351295,0.10874891187677213,0.7079271387870538
EA vs SHE (eV),3,RF,0.1753281671409442,0.05366436329549214,0.8558707037855593
EA vs SHE (eV),3,XGB,0.17268634549543216,0.05245028780485598,0.8591314122943527
EA vs SHE (eV),4,Linear,0.2419241635586507,0.09498793574584598,0.7346002302323066
EA vs SHE (eV),4,RF,0.17410108016457893,0.059726885629075244,0.8331208950859725
EA vs SHE (eV),4,XGB,0.17297649990332928,0.05854773052744391,0.8364154976061358
IP vs SHE (eV),0,Linear,0.20846947160435844,0.07140600815707566,0.6999021329287349
IP vs SHE (eV),0,RF,0.1704139620871796,0.05384465633357217,0.7737071860487539
IP vs SHE (eV),0,XGB,0.17129938893564253,0.05512753344919692,0.7683156413307429
IP vs SHE (eV),1,Linear,0.20869240402377554,0.0698459213380497,0.7141962000992785
IP vs SHE (eV),1,RF,0.16566183728047992,0.04775828524552129,0.8045770012274609
IP vs SHE (eV),1,XGB,0.16273752694910382,0.04480921881349282,0.8166443399680302
IP vs SHE (eV),2,Linear,0.20190166927298067,0.06573869499798031,0.7145580165137959
IP vs SHE (eV),2,RF,0.16871826228733744,0.04917576263356363,0.7864754202071943
IP vs SHE (eV),2,XGB,0.16703976135528859,0.047604447980952286,0.793298177658283
IP vs SHE (eV),3,Linear,0.2026174451228131,0.06696378501864929,0.7127375452148867
IP vs SHE (eV),3,RF,0.17095030202933031,0.05534355692027914,0.7625862096500157
IP vs SHE (eV),3,XGB,0.16999243924030055,0.05445920954300548,0.7663798990062498
IP vs SHE (eV),4,Linear,0.1923776281143007,0.061059770601587994,0.7305534012423913
IP vs SHE (eV),4,RF,0.16858434734115024,0.04930764923978553,0.7824135556112313
IP vs SHE (eV),4,XGB,0.16892233515009183,0.04940269311084767,0.7819941428368606
