target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.23031986085835293,0.08671423958692845,0.7470176724366253
EA vs SHE (eV),0,RF,0.18399296916927704,0.06814254043432459,0.8011992197904778
EA vs SHE (eV),0,XGB,0.18393820657754595,0.06504172538973847,0.8102456164498931
EA vs SHE (eV),1,Linear,0.2587099103273815,0.10731169935500201,0.6966140900988166
EA vs SHE (eV),1,RF,0.1933666593154558,0.07224561013461953,0.7957510662975439
EA vs SHE (eV),1,XGB,0.20435895607601393,0.08805448443760262,0.7510570604831592
EA vs SHE (eV),2,Linear,0.257268733415048,0.11143776578908171,0.7153534655547175
EA vs SHE (eV),2,RF,0.19040614245485596,0.06920798770270185,0.823221385353403
EA vs SHE (eV),2,XGB,0.18394512560573847,0.0642159462279379,0.8359726038971069
EA vs SHE (eV),3,Linear,0.24899864471618136,0.1046595305342073,0.6944683455834053
EA vs SHE (eV),3,RF,0.18655967576598517,0.06387296621542947,0.8135362069685856
EA vs SHE (eV),3,XGB,0.18312567906226274,0.06165715739606608,0.8200047983237676
EA vs SHE (eV),4,Linear,0.2449818623955464,0.10046162909583807,0.7195494171843786
EA vs SHE (eV),4,RF,0.19231001380794668,0.06989371498895428,0.8048833840321108
EA vs SHE (eV),4,XGB,0.19128763169380245,0.06843911493723935,0.8089440730328626
IP vs SHE (eV),0,Linear,0.19989818365045536,0.06504028698836,0.6565607797295476
IP vs SHE (eV),0,RF,0.18153888415074182,0.0554149917204247,0.7073862612081916
IP vs SHE (eV),0,XGB,0.17962567681421748,0.05319614163158003,0.7191026938946927
IP vs SHE (eV),1,Linear,0.2099806262956133,0.07138232928989037,0.7266657035666022
IP vs SHE (eV),1,RF,0.1868006272988437,0.06332100800274444,0.7575337854051374
IP vs SHE (eV),1,XGB,0.18759918955959132,0.06352074640090609,0.7567689552983677
IP vs SHE (eV),2,Linear,0.2024044480625504,0.06677081045666206,0.7116044241883198
IP vs SHE (eV),2,RF,0.16500791142569718,0.04820540919428244,0.7917918526562433
IP vs SHE (eV),2,XGB,0.16643558496841915,0.04764669778769709,0.7942050313598223
IP vs SHE (eV),3,Linear,0.2132186325868632,0.07218217329137865,0.7070537289172443
IP vs SHE (eV),3,RF,0.17533106090485642,0.05212244630740651,0.7884647193451904
IP vs SHE (eV),3,XGB,0.17522817477300345,0.05239537461514168,0.7873570590133077
IP vs SHE (eV),4,Linear,0.2087761814170251,0.07181112099416256,0.6895011875410624
IP vs SHE (eV),4,RF,0.16923065777423707,0.049225162045807264,0.7871589504978711
IP vs SHE (eV),4,XGB,0.1676961329774788,0.048440098065375,0.790553430771314
