target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.48834212655899273,0.37611445752689654,0.002612156353252515
EA vs SHE (eV),0,RF,0.48835113390493823,0.3761142878843507,0.00261260621474968
EA vs SHE (eV),0,XGB,0.48843356532137794,0.37613481141332894,0.0025581815099769978
EA vs SHE (eV),1,Linear,0.48659392115171485,0.3836994477396264,0.002405766133313225
EA vs SHE (eV),1,RF,0.4865976092946718,0.38370042690233463,0.002403220372360182
EA vs SHE (eV),1,XGB,0.48660833984132035,0.3837012780367058,0.0024010074769653666
EA vs SHE (eV),2,Linear,0.46608412111521436,0.34005460815898114,-0.0017091989493975834
EA vs SHE (eV),2,RF,0.46605891494727103,0.3400357810481079,-0.0016537393564413083
EA vs SHE (eV),2,XGB,0.46616717294606763,0.3400446440762391,-0.0016798474478965097
EA vs SHE (eV),3,Linear,0.47711136780787144,0.37166772536816156,0.0017917963924685143
EA vs SHE (eV),3,RF,0.4771207433159994,0.37166502077617936,0.0017990602621020813
EA vs SHE (eV),3,XGB,0.47716660511379827,0.37166338232480894,0.0018034607399683988
EA vs SHE (eV),4,Linear,0.47975492903918077,0.3574893584383378,0.0011616456452526736
EA vs SHE (eV),4,RF,0.479766460015052,0.3574940419440069,0.0011485597589606655
EA vs SHE (eV),4,XGB,0.47983234535668456,0.35748662431723943,0.001169284879691479
IP vs SHE (eV),0,Linear,0.38255195890050475,0.23715948314634627,0.003290382913111234
IP vs SHE (eV),0,RF,0.38254113521880956,0.23717056707198714,0.0032438005241856027
IP vs SHE (eV),0,XGB,0.38255189132704437,0.2371595005728017,0.003290309674986891
IP vs SHE (eV),1,Linear,0.39402259408599277,0.24335263761139334,0.0042209020541568165
IP vs SHE (eV),1,RF,0.3940109647068153,0.24335065580240214,0.004229011454527032
IP vs SHE (eV),1,XGB,0.3940225217061728,0.24335263745485922,0.004220902694681672
IP vs SHE (eV),2,Linear,0.38539869707410074,0.2296417960639231,0.0028793580122867812
IP vs SHE (eV),2,RF,0.385368456584249,0.22963477319196807,0.0029098518105084015
IP vs SHE (eV),2,XGB,0.38539848991532377,0.22964175408987778,0.002879540266509495
IP vs SHE (eV),3,Linear,0.3818293831558377,0.23277647867430587,0.0014312562888572078
IP vs SHE (eV),3,RF,0.38180976667667355,0.23276810348440283,0.0014671843298149634
IP vs SHE (eV),3,XGB,0.3818293447357504,0.2327764774993614,0.0014312613291552756
IP vs SHE (eV),4,Linear,0.37831957788658094,0.22563930538973423,0.004291323333074026
IP vs SHE (eV),4,RF,0.3783203585110123,0.22563928568796934,0.004291410273681184
IP vs SHE (eV),4,XGB,0.37825894735816534,0.22563693431754703,0.004301786479757208
