target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.4960756535570693,0.35359272748171733,-0.03158041440394821
EA vs SHE (eV),0,RF,0.49607130161642693,0.35358851498361504,-0.031568124754868254
EA vs SHE (eV),0,XGB,0.4961126713388499,0.3536129245194441,-0.031639337755388075
EA vs SHE (eV),1,Linear,0.47440395522278195,0.3531190568399184,0.0016806461295428843
EA vs SHE (eV),1,RF,0.47439370565530686,0.3531176530396027,0.0016846148788839388
EA vs SHE (eV),1,XGB,0.4744040697922078,0.3531190735508158,0.0016805988853856313
EA vs SHE (eV),2,Linear,0.4877010693655202,0.39624637465918433,-0.012135845820184565
EA vs SHE (eV),2,RF,0.4877039969635887,0.3962742657975692,-0.012207088417582002
EA vs SHE (eV),2,XGB,0.4877012066791489,0.3962463761666121,-0.012135849670621646
EA vs SHE (eV),3,Linear,0.45345198907765605,0.3425133096738675,0.0001038832277542312
EA vs SHE (eV),3,RF,0.453451577203874,0.3425232609586267,7.483252897388937e-05
EA vs SHE (eV),3,XGB,0.4534520816404549,0.34251329573379924,0.00010392392287394969
EA vs SHE (eV),4,Linear,0.4750143860589266,0.35772545483126367,0.0013668581891691511
EA vs SHE (eV),4,RF,0.4750111316758971,0.35772722110583477,0.0013619274236883472
EA vs SHE (eV),4,XGB,0.47501445224750216,0.35772541792407403,0.0013669612199773695
IP vs SHE (eV),0,Linear,0.3325723173460127,0.18906575825700475,0.001655749039848664
IP vs SHE (eV),0,RF,0.33257339312531553,0.18906809143980338,0.0016434288838621525
IP vs SHE (eV),0,XGB,0.33257237237462967,0.1890657904019894,0.00165557930123017
IP vs SHE (eV),1,Linear,0.4127895662752898,0.25996518921473527,0.004551927654055543
IP vs SHE (eV),1,RF,0.4128163560127869,0.2599669810248696,0.00454506652795772
IP vs SHE (eV),1,XGB,0.4127894895469783,0.2599652066290407,0.004551860971909183
IP vs SHE (eV),2,Linear,0.3804454971741147,0.2306121545135683,0.003943120725189542
IP vs SHE (eV),2,RF,0.38043879030249816,0.23061155839363234,0.003945695478304145
IP vs SHE (eV),2,XGB,0.38026000834951373,0.2306141884681667,0.003934335696169189
IP vs SHE (eV),3,Linear,0.4054775745273566,0.24547379553655804,0.003761873992308873
IP vs SHE (eV),3,RF,0.4054713686648682,0.24547297947179839,0.003765185933712112
IP vs SHE (eV),3,XGB,0.4054668099868236,0.24547252579881276,0.0037670271336008865
IP vs SHE (eV),4,Linear,0.38506715674760245,0.23043313700058343,0.0036471454653245194
IP vs SHE (eV),4,RF,0.3850690992617852,0.23043291135865512,0.003648121101825108
IP vs SHE (eV),4,XGB,0.3849410247188683,0.23041836893481982,0.0037110000162414725
