target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.16434456199180764,0.04942940063828799,0.8689221264198607
EA vs SHE (eV),0,RF,0.08819137876476553,0.017049231571947127,0.9547885066019767
EA vs SHE (eV),0,XGB,0.08296949051961515,0.014604573953962625,0.9612712985852703
EA vs SHE (eV),1,Linear,0.16244208189357912,0.0494766436339337,0.8713638638495445
EA vs SHE (eV),1,RF,0.09173019441345069,0.018755526531533916,0.9512368202998078
EA vs SHE (eV),1,XGB,0.08261710493512132,0.014501958415264353,0.9622958276847472
EA vs SHE (eV),2,Linear,0.15856537077523544,0.04558467803136564,0.8657198278759467
EA vs SHE (eV),2,RF,0.0849084381597189,0.01454073181778034,0.9571669241590836
EA vs SHE (eV),2,XGB,0.08114557121527272,0.013647950584472154,0.9597968169839327
EA vs SHE (eV),3,Linear,0.15931792559465205,0.04595602786523559,0.8765733990626882
EA vs SHE (eV),3,RF,0.08737267492419602,0.017034635317196352,0.9542491543965936
EA vs SHE (eV),3,XGB,0.08334727085404295,0.015347989474969861,0.9587790707745177
EA vs SHE (eV),4,Linear,0.15675212318681556,0.04553843650111689,0.8727639413565665
EA vs SHE (eV),4,RF,0.09334876693023855,0.019983943510800285,0.9441641302637853
EA vs SHE (eV),4,XGB,0.08137317468762718,0.014130475310286073,0.960518934698273
IP vs SHE (eV),0,Linear,0.14402982681833784,0.03699547509974546,0.8445192014613188
IP vs SHE (eV),0,RF,0.08395789870157636,0.01707613449290738,0.9282341686448723
IP vs SHE (eV),0,XGB,0.07786526398886108,0.013878025957020012,0.9416748520698721
IP vs SHE (eV),1,Linear,0.13887516724323595,0.034242447805686076,0.8598827030514696
IP vs SHE (eV),1,RF,0.07924102445186858,0.014587278772481286,0.9403100478378957
IP vs SHE (eV),1,XGB,0.07381935741057377,0.012086598223035377,0.9505426282044764
IP vs SHE (eV),2,Linear,0.13889262129912194,0.03351144725903564,0.8544909664634149
IP vs SHE (eV),2,RF,0.07972127175732795,0.013195118260535531,0.9427058792582054
IP vs SHE (eV),2,XGB,0.07331149860944881,0.011002365200357491,0.9522269654740466
IP vs SHE (eV),3,Linear,0.13816888031957736,0.03387325448515255,0.8546899009329321
IP vs SHE (eV),3,RF,0.08643381857267933,0.01790804202506848,0.9231777577823078
IP vs SHE (eV),3,XGB,0.07894143565639063,0.014250924890557948,0.9388661249378325
IP vs SHE (eV),4,Linear,0.13486899711374056,0.032469496955754705,0.8567175174111921
IP vs SHE (eV),4,RF,0.07941990816952203,0.014639158529123255,0.9353998314195581
IP vs SHE (eV),4,XGB,0.0730740734093396,0.011327761422007077,0.9500124753724823
