target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.1567583031039438,0.04523065819479686,0.8800564356385969
EA vs SHE (eV),0,RF,0.08145541747265117,0.013747387723335941,0.9635444021819521
EA vs SHE (eV),0,XGB,0.07917806736034606,0.013158025233084972,0.9651072854253745
EA vs SHE (eV),1,Linear,0.15852087174981438,0.046547761522879615,0.8789787716188295
EA vs SHE (eV),1,RF,0.08925724537182013,0.01941577875979181,0.949520206372715
EA vs SHE (eV),1,XGB,0.08225452214218182,0.015097001497081356,0.96074875340351
EA vs SHE (eV),2,Linear,0.15380471311738164,0.04265851502434375,0.8743395152186011
EA vs SHE (eV),2,RF,0.07969954779533395,0.012349879879321285,0.9636205833292146
EA vs SHE (eV),2,XGB,0.07456900853494537,0.010682040210746053,0.9685335893532455
EA vs SHE (eV),3,Linear,0.15449332966830082,0.044596318096152235,0.8802252454657619
EA vs SHE (eV),3,RF,0.08584078083572143,0.017730205051194776,0.952381024970046
EA vs SHE (eV),3,XGB,0.08211357733542493,0.01604738780734178,0.9569006586733014
EA vs SHE (eV),4,Linear,0.1528723982946082,0.04299863553184732,0.8798602382410832
EA vs SHE (eV),4,RF,0.08294337258714417,0.01524306259560183,0.957410325093793
EA vs SHE (eV),4,XGB,0.08071888352382366,0.013873165370839631,0.961237868088622
IP vs SHE (eV),0,Linear,0.13595012288904768,0.03265888990597292,0.8627445581310433
IP vs SHE (eV),0,RF,0.08401069815747901,0.01708842088072363,0.928182532670914
IP vs SHE (eV),0,XGB,0.07709324551398243,0.012916546301165096,0.9457156604192166
IP vs SHE (eV),1,Linear,0.1336895109687408,0.03185131313239103,0.8696670306487033
IP vs SHE (eV),1,RF,0.07936085116070868,0.014516550445281976,0.9405994623704401
IP vs SHE (eV),1,XGB,0.07231638273880137,0.011391344958062972,0.9533875477246982
IP vs SHE (eV),2,Linear,0.13390728220992493,0.030941985980039784,0.8656477459521181
IP vs SHE (eV),2,RF,0.07978950349113828,0.013404181502240261,0.9417981121297571
IP vs SHE (eV),2,XGB,0.07303000613232954,0.01078349080898722,0.9531773332963618
IP vs SHE (eV),3,Linear,0.1319710362808466,0.0307366997151962,0.8681451502521677
IP vs SHE (eV),3,RF,0.0849940574024312,0.017403789719228516,0.9253409084340564
IP vs SHE (eV),3,XGB,0.07647124753616337,0.013043628922913077,0.9440452049916445
IP vs SHE (eV),4,Linear,0.1311611565489127,0.030039186501975117,0.8674420726993008
IP vs SHE (eV),4,RF,0.08003109913733225,0.015117866906329791,0.9332873710751407
IP vs SHE (eV),4,XGB,0.07289034200238195,0.011997235893398012,0.9470581960246551
