target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.1512526425306465,0.04266309950154518,0.8755335886656876
EA vs SHE (eV),0,RF,0.10057098266901957,0.023611987021386463,0.9311137886519968
EA vs SHE (eV),0,XGB,0.10235376150908333,0.02624929182553554,0.9234196485542927
EA vs SHE (eV),1,Linear,0.19395823953552715,0.11365486645887435,0.6786810265556023
EA vs SHE (eV),1,RF,0.11029724120126734,0.030721633455768792,0.913145437304133
EA vs SHE (eV),1,XGB,0.10930749387133698,0.03018472104084914,0.9146633674321312
EA vs SHE (eV),2,Linear,0.21290407098041614,0.3295118455887237,0.15832479015216472
EA vs SHE (eV),2,RF,0.10760710104830312,0.03980992565751432,0.8983131320455275
EA vs SHE (eV),2,XGB,0.10072780315473599,0.03259087732114771,0.9167528151851644
EA vs SHE (eV),3,Linear,0.1689980626704367,0.05507720423214499,0.8392135981902971
EA vs SHE (eV),3,RF,0.10366210426413411,0.030035307305375198,0.9123181894178022
EA vs SHE (eV),3,XGB,0.1020490325747375,0.027542164721469475,0.919596398812294
EA vs SHE (eV),4,Linear,0.17113433780967113,0.057696368929863434,0.8389337258577697
EA vs SHE (eV),4,RF,0.1030461455919291,0.02870172906064307,0.9198757106039516
EA vs SHE (eV),4,XGB,0.1014173498409032,0.02808389055147734,0.9216004802651738
IP vs SHE (eV),0,Linear,0.12852692212758923,0.030874185540060422,0.8369717186170893
IP vs SHE (eV),0,RF,0.09167465784061914,0.02146342969586298,0.8866643445101021
IP vs SHE (eV),0,XGB,0.09087451488389958,0.020672095120317258,0.8908429135506587
IP vs SHE (eV),1,Linear,0.16404533089301016,0.07344849678577506,0.7187540194786862
IP vs SHE (eV),1,RF,0.09020213750819343,0.025145812544397666,0.9037126828384056
IP vs SHE (eV),1,XGB,0.09426655978604408,0.02599344566167273,0.9004669607661666
IP vs SHE (eV),2,Linear,0.1902688156582169,0.35808227398100095,-0.5466240844827561
IP vs SHE (eV),2,RF,0.0878890547149019,0.021084651401346608,0.9089314606174111
IP vs SHE (eV),2,XGB,0.0828441216711723,0.017661174610004743,0.923718094983004
IP vs SHE (eV),3,Linear,0.14111682029640055,0.03735419037672878,0.8484006468466219
IP vs SHE (eV),3,RF,0.08535574253442682,0.018031571859003104,0.9268201344321865
IP vs SHE (eV),3,XGB,0.08260894226309695,0.017487249861179686,0.9290292269582178
IP vs SHE (eV),4,Linear,0.1527107977486614,0.0493350817496545,0.7866836767932149
IP vs SHE (eV),4,RF,0.07824097555065766,0.016359619562121678,0.9292638469363025
IP vs SHE (eV),4,XGB,0.07681736533686019,0.014662038819987023,0.9366038911688499
