target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.18284066098656931,0.05680470947075242,0.849364134895128
EA vs SHE (eV),0,RF,0.14905959632987786,0.03800591739581737,0.8992151478396175
EA vs SHE (eV),0,XGB,0.14787479481890148,0.036932543766568376,0.9020615415053739
EA vs SHE (eV),1,Linear,0.18433978596696252,0.05797619109854132,0.8492655793950863
EA vs SHE (eV),1,RF,0.15256604853096378,0.039675918358957174,0.896845128103703
EA vs SHE (eV),1,XGB,0.15104195288638866,0.03855684842563773,0.8997546389704755
EA vs SHE (eV),2,Linear,0.18225192047790795,0.05553069557028995,0.8364215415930722
EA vs SHE (eV),2,RF,0.14922203089421998,0.037152219605668974,0.89055957705773
EA vs SHE (eV),2,XGB,0.1479191029029212,0.03693170406970809,0.8912091563770023
EA vs SHE (eV),3,Linear,0.17933957565734873,0.05424836938472019,0.8543022069012879
EA vs SHE (eV),3,RF,0.1483912429573932,0.03807856956490922,0.897730316820809
EA vs SHE (eV),3,XGB,0.14827264119115927,0.03872503821810524,0.8959940608347501
EA vs SHE (eV),4,Linear,0.18117644934008814,0.05319286802177499,0.8513771794763971
EA vs SHE (eV),4,RF,0.1451058761996193,0.03545559646135078,0.9009357655376751
EA vs SHE (eV),4,XGB,0.14422559219526293,0.03552568291978135,0.9007399414071131
IP vs SHE (eV),0,Linear,0.17115989572795778,0.049138358146151744,0.7934863346708054
IP vs SHE (eV),0,RF,0.15253053423890953,0.04129844308071888,0.8264351277748931
IP vs SHE (eV),0,XGB,0.1519668624620044,0.04085992527255116,0.8282780855637448
IP vs SHE (eV),1,Linear,0.16838238262383803,0.04626347722296181,0.8106936334485731
IP vs SHE (eV),1,RF,0.143960307243901,0.03576514546911882,0.8536519487000062
IP vs SHE (eV),1,XGB,0.14314540329575806,0.03530203874952533,0.8555469435355496
IP vs SHE (eV),2,Linear,0.16730968586455178,0.04424369999829514,0.8078907790203329
IP vs SHE (eV),2,RF,0.1409552106658491,0.03271029922494627,0.8579696069189879
IP vs SHE (eV),2,XGB,0.1414915287144731,0.03270595136517218,0.857988485628367
IP vs SHE (eV),3,Linear,0.1654161182171132,0.04590012245305739,0.803096825438848
IP vs SHE (eV),3,RF,0.14610721817599448,0.03776484700203787,0.8379956770459084
IP vs SHE (eV),3,XGB,0.14469572560520325,0.03722868601064362,0.8402957101534312
IP vs SHE (eV),4,Linear,0.16634056349409623,0.04494874776977935,0.8016486618659895
IP vs SHE (eV),4,RF,0.14343188822650907,0.034480635746889095,0.8478426968613986
IP vs SHE (eV),4,XGB,0.14353269877149036,0.03538300597894937,0.8438606873082473
