target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.18283881247450945,0.05741428165495421,0.8324981147543962
EA vs SHE (eV),0,RF,0.1573244858617244,0.04427368060575084,0.8708348383979985
EA vs SHE (eV),0,XGB,0.1628556406149552,0.04821993299365827,0.8593219413351747
EA vs SHE (eV),1,Linear,0.2699483884108734,0.4469536012730457,-0.2636033705630918
EA vs SHE (eV),1,RF,0.17420059347914382,0.05265838811115711,0.8511270151618524
EA vs SHE (eV),1,XGB,0.1758154407732746,0.05413642489982842,0.8469483884259636
EA vs SHE (eV),2,Linear,0.23336018002971895,0.3057738752180578,0.2189589113850302
EA vs SHE (eV),2,RF,0.17642102499891077,0.06391281875268078,0.8367468852613833
EA vs SHE (eV),2,XGB,0.17116759850722738,0.05534561988278827,0.8586301620028969
EA vs SHE (eV),3,Linear,0.19076196760155326,0.061678181542559385,0.8199434227163288
EA vs SHE (eV),3,RF,0.16564671221953423,0.047736729052074586,0.860642583343616
EA vs SHE (eV),3,XGB,0.1608585590197458,0.044909679186566895,0.8688955653522107
EA vs SHE (eV),4,Linear,0.19076747996338825,0.06173740756147467,0.8276526860257891
EA vs SHE (eV),4,RF,0.16536819510764167,0.04888424434806492,0.8635338194163923
EA vs SHE (eV),4,XGB,0.1715206799344185,0.05303155957513046,0.8519560958315892
IP vs SHE (eV),0,Linear,0.17436956311974824,0.050805116203202785,0.7317282825381695
IP vs SHE (eV),0,RF,0.1587858490301697,0.04080682948763681,0.7845233108603682
IP vs SHE (eV),0,XGB,0.16000741473415567,0.04121387525050052,0.7823739433546971
IP vs SHE (eV),1,Linear,0.2224828654248989,0.20644140185150286,0.2095030255926864
IP vs SHE (eV),1,RF,0.16296109591929162,0.04701602863425099,0.8199681456786597
IP vs SHE (eV),1,XGB,0.1637499032809013,0.0468099965240169,0.8207570754103419
IP vs SHE (eV),2,Linear,0.22478883398587288,0.3722123167405444,-0.6076543728679349
IP vs SHE (eV),2,RF,0.15113960257416825,0.039584562872820875,0.8290268947630873
IP vs SHE (eV),2,XGB,0.153750262903582,0.040860579081451645,0.8235155429206238
IP vs SHE (eV),3,Linear,0.17554742577465185,0.051973856128885935,0.7890677621289177
IP vs SHE (eV),3,RF,0.1519817541978682,0.03791566558846368,0.8461219392089455
IP vs SHE (eV),3,XGB,0.15586694331999001,0.039773065177616126,0.8385838136754236
IP vs SHE (eV),4,Linear,0.1789366738654919,0.05553265137231218,0.7598864623600463
IP vs SHE (eV),4,RF,0.1500976352892799,0.03748103733906213,0.8379385055908832
IP vs SHE (eV),4,XGB,0.15201364593531902,0.038488132761271956,0.8335839999335435
