target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.18199754811189223,0.055807633649792646,0.852008200506321
EA vs SHE (eV),0,RF,0.1419105840602941,0.03545807455853873,0.9059715684519319
EA vs SHE (eV),0,XGB,0.13835451547472274,0.03365803209365877,0.9107449570749705
EA vs SHE (eV),1,Linear,0.18345917006009538,0.05694557159384194,0.8519451247560593
EA vs SHE (eV),1,RF,0.14540945261385305,0.03709332499696057,0.9035597070834946
EA vs SHE (eV),1,XGB,0.14135289195077877,0.03510417148426883,0.9087313800849203
EA vs SHE (eV),2,Linear,0.18183975785162249,0.05477465140593228,0.8386486438762886
EA vs SHE (eV),2,RF,0.14228415001179834,0.03510921706688783,0.8965777117557233
EA vs SHE (eV),2,XGB,0.138196107640659,0.03420857648132808,0.8992307561134713
EA vs SHE (eV),3,Linear,0.17930073326075346,0.05343324941248354,0.8564914188981192
EA vs SHE (eV),3,RF,0.14145681935107973,0.03580779049521416,0.9038290715450847
EA vs SHE (eV),3,XGB,0.1395852379951272,0.03607348745205174,0.9031154747921621
EA vs SHE (eV),4,Linear,0.1806059977080085,0.05235942780556055,0.8537058419508643
EA vs SHE (eV),4,RF,0.13829806092503982,0.033435755484205965,0.9065792751696341
EA vs SHE (eV),4,XGB,0.13462650557338637,0.031420666384028996,0.9122095078833895
IP vs SHE (eV),0,Linear,0.16943688362107506,0.04788768015967006,0.7987425561824535
IP vs SHE (eV),0,RF,0.14470635785450525,0.03885334402900258,0.8367111399640064
IP vs SHE (eV),0,XGB,0.14324042197524955,0.038142921095601426,0.8396968328004302
IP vs SHE (eV),1,Linear,0.1667748649853021,0.045205017820209706,0.8150247627908731
IP vs SHE (eV),1,RF,0.1371184699863293,0.03357445847172982,0.8626160607949209
IP vs SHE (eV),1,XGB,0.13515128612013466,0.032837971080147396,0.8656297069901578
IP vs SHE (eV),2,Linear,0.16582904608076832,0.04336819946816675,0.811692263182298
IP vs SHE (eV),2,RF,0.13401924513515462,0.030522422277743783,0.8674695207133278
IP vs SHE (eV),2,XGB,0.1333797286681011,0.030128928984986775,0.8691780959440428
IP vs SHE (eV),3,Linear,0.1639786049994413,0.044870525641462045,0.8075136084426079
IP vs SHE (eV),3,RF,0.1396518161450645,0.035662373053165955,0.8470149077764666
IP vs SHE (eV),3,XGB,0.13708201333239223,0.034852142541482285,0.8504906492636485
IP vs SHE (eV),4,Linear,0.1645026365762956,0.043952860249243275,0.8060433476387954
IP vs SHE (eV),4,RF,0.13693750873840527,0.032510359680619265,0.8565371970116518
IP vs SHE (eV),4,XGB,0.13386789575703378,0.032003762167045265,0.858772727470196
