target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.18153318799827697,0.05624752598617798,0.8359020374110537
EA vs SHE (eV),0,RF,0.15136321738032799,0.041840579475477084,0.877933229504994
EA vs SHE (eV),0,XGB,0.15518156310162665,0.04455687101627915,0.870008651493283
EA vs SHE (eV),1,Linear,0.26926562841429347,0.4459634647197925,-0.2608041093367699
EA vs SHE (eV),1,RF,0.16717818894384878,0.05031315234283847,0.8577573405763291
EA vs SHE (eV),1,XGB,0.1691243905290444,0.05235729113629478,0.8519782604616302
EA vs SHE (eV),2,Linear,0.2329423237945307,0.30479028674335024,0.2214713006873763
EA vs SHE (eV),2,RF,0.1700195609601943,0.061501287168488364,0.8429066830936992
EA vs SHE (eV),2,XGB,0.16430788302787855,0.05232374093514477,0.8663489758526641
EA vs SHE (eV),3,Linear,0.1900369540729718,0.06090205026396063,0.8222091759868084
EA vs SHE (eV),3,RF,0.16066698371621663,0.046138455796204826,0.8653084085158022
EA vs SHE (eV),3,XGB,0.1546412530157808,0.042549251793316006,0.8757863404484594
EA vs SHE (eV),4,Linear,0.1908171343685659,0.06106947694866572,0.8295172937504356
EA vs SHE (eV),4,RF,0.1591750004889,0.04673754914641198,0.8695265743204237
EA vs SHE (eV),4,XGB,0.16456808416674507,0.0513727860828305,0.85658675926858
IP vs SHE (eV),0,Linear,0.17240628210340467,0.049456236002132545,0.7388509196903814
IP vs SHE (eV),0,RF,0.1507241320368531,0.038429372745959804,0.7970772513086077
IP vs SHE (eV),0,XGB,0.15112726182810457,0.038297738436568134,0.797772334105312
IP vs SHE (eV),1,Linear,0.22083624045364417,0.20525109741929273,0.21406089065195655
IP vs SHE (eV),1,RF,0.15599790064351698,0.04467297139157735,0.8289400846627253
IP vs SHE (eV),1,XGB,0.15709980889454134,0.04480488183191263,0.8284349785985223
IP vs SHE (eV),2,Linear,0.22324157492965624,0.3712517124129267,-0.6035053437293669
IP vs SHE (eV),2,RF,0.14492456535608847,0.037592475569879984,0.8376310911307749
IP vs SHE (eV),2,XGB,0.1459419264204657,0.03852252127467847,0.8336140503800021
IP vs SHE (eV),3,Linear,0.1745005969604925,0.051009138221056176,0.792983001873843
IP vs SHE (eV),3,RF,0.14553192906332815,0.03584899969471429,0.8545093573142979
IP vs SHE (eV),3,XGB,0.147608455761078,0.0368707700720097,0.8503625741366395
IP vs SHE (eV),4,Linear,0.17779131188698477,0.054645144190449316,0.7637238892404816
IP vs SHE (eV),4,RF,0.14411038167720558,0.03549893600587862,0.8465087674334296
IP vs SHE (eV),4,XGB,0.14445115799042954,0.03580688884739931,0.8451772328429404
