target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.15527520841011416,0.04430881785564075,0.8825009902938556
EA vs SHE (eV),0,RF,0.0676830423201526,0.010768979056613585,0.9714426058754078
EA vs SHE (eV),0,XGB,0.06540058455195404,0.010260492438660418,0.9727910208625324
EA vs SHE (eV),1,Linear,0.15689026959821334,0.04549793004059113,0.8817082669033091
EA vs SHE (eV),1,RF,0.07662136921181109,0.016628536812619523,0.9567668586972636
EA vs SHE (eV),1,XGB,0.06719289381513642,0.011898386932956976,0.9690649484471312
EA vs SHE (eV),2,Linear,0.15282726490740028,0.04188062579910626,0.8766309671618717
EA vs SHE (eV),2,RF,0.06693546326618946,0.009942171156099536,0.9707130441239655
EA vs SHE (eV),2,XGB,0.062155481329636435,0.008571972028512018,0.9747492813563549
EA vs SHE (eV),3,Linear,0.1535909563278115,0.04382801285163462,0.8822887246048032
EA vs SHE (eV),3,RF,0.07298551956350119,0.015183690649227834,0.9592203370575567
EA vs SHE (eV),3,XGB,0.06862039810390907,0.013327861583539045,0.9642046380108581
EA vs SHE (eV),4,Linear,0.15143776686712423,0.04213773884077588,0.8822656151114203
EA vs SHE (eV),4,RF,0.0712109795910251,0.013002562529536753,0.9636703642980261
EA vs SHE (eV),4,XGB,0.06798093461789279,0.011439787441088907,0.9680368151048159
IP vs SHE (eV),0,Linear,0.13350487023664118,0.03132028162696256,0.8683703240818759
IP vs SHE (eV),0,RF,0.0686130768738092,0.014225461111842365,0.940214687139795
IP vs SHE (eV),0,XGB,0.059825466731358815,0.009403381949286032,0.960480428201089
IP vs SHE (eV),1,Linear,0.131347812199824,0.030797757872919634,0.8739780926376342
IP vs SHE (eV),1,RF,0.06519483868126492,0.011962838926855113,0.9510490411265734
IP vs SHE (eV),1,XGB,0.05645415790588955,0.008028572582122535,0.9671477373654551
IP vs SHE (eV),2,Linear,0.13194724427936697,0.03010808437367497,0.8692686046953654
IP vs SHE (eV),2,RF,0.06647421806371587,0.011055613394873223,0.9519957581119276
IP vs SHE (eV),2,XGB,0.058473737837439414,0.008102957898153513,0.9648163935316147
IP vs SHE (eV),3,Linear,0.13028823669885997,0.029783565237480596,0.872233923754631
IP vs SHE (eV),3,RF,0.07182048179479195,0.014943453842190046,0.9358953017294342
IP vs SHE (eV),3,XGB,0.06192755845524897,0.01074930899114627,0.9538874200856419
IP vs SHE (eV),4,Linear,0.1285422835098113,0.029017408946000255,0.8719510068867662
IP vs SHE (eV),4,RF,0.0664133014829352,0.012736039492634096,0.9437979787817351
IP vs SHE (eV),4,XGB,0.058896825407876864,0.00884175497031432,0.9609828078237586
