target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.18772581997458743,0.06000942063871603,0.8408658177010931
EA vs SHE (eV),0,RF,0.14765522078165824,0.037437087683980325,0.9007235818504287
EA vs SHE (eV),0,XGB,0.14836191038257737,0.04024675619271748,0.893272846684017
EA vs SHE (eV),1,Linear,0.18914165493414203,0.06079947787403143,0.841925212802502
EA vs SHE (eV),1,RF,0.14997327617271816,0.03793408839207203,0.9013737755687364
EA vs SHE (eV),1,XGB,0.15127151306430134,0.039564595499773654,0.897134560478634
EA vs SHE (eV),2,Linear,0.18523894953668887,0.057927309666987246,0.8293617625770175
EA vs SHE (eV),2,RF,0.1507286457978023,0.03823604084187382,0.8873669318875886
EA vs SHE (eV),2,XGB,0.14755780921455655,0.036345148621043856,0.8929369905969289
EA vs SHE (eV),3,Linear,0.1834898105479851,0.05589521696061914,0.8498791788895736
EA vs SHE (eV),3,RF,0.15021894535992608,0.04119313231424579,0.8893653664233578
EA vs SHE (eV),3,XGB,0.14780422664122883,0.04107769985906093,0.889675389639966
EA vs SHE (eV),4,Linear,0.18481813350244733,0.05548438587915399,0.8449745946955869
EA vs SHE (eV),4,RF,0.14654921283585082,0.03695286486689603,0.8967523428009668
EA vs SHE (eV),4,XGB,0.14716088836825106,0.03737484876752107,0.8955733043347429
IP vs SHE (eV),0,Linear,0.17623250832854268,0.052904263691876834,0.7776593720519469
IP vs SHE (eV),0,RF,0.15055559206293254,0.03951877072037161,0.8339145527309986
IP vs SHE (eV),0,XGB,0.15003794748968569,0.038422379549248,0.8385223533968219
IP vs SHE (eV),1,Linear,0.17074475788596238,0.047785014577378354,0.8044676269867436
IP vs SHE (eV),1,RF,0.1448291045669964,0.035994253910692074,0.852714455687722
IP vs SHE (eV),1,XGB,0.14539028213738817,0.03657488227011802,0.8503385719099007
IP vs SHE (eV),2,Linear,0.17042045179574025,0.04635752415550341,0.7987124075879046
IP vs SHE (eV),2,RF,0.141768688426049,0.03310297574040864,0.8562645781920643
IP vs SHE (eV),2,XGB,0.1408830558632799,0.03273619270563497,0.8578571756258603
IP vs SHE (eV),3,Linear,0.16800889053752582,0.047866855383466245,0.7946598989816798
IP vs SHE (eV),3,RF,0.1463375656032551,0.03727071201275298,0.8401154262503129
IP vs SHE (eV),3,XGB,0.14809807315448575,0.039199707328535484,0.8318403872941615
IP vs SHE (eV),4,Linear,0.16899115478286028,0.04707551461430688,0.7922635939732927
IP vs SHE (eV),4,RF,0.14387739588149137,0.03480955177156003,0.8463912452222706
IP vs SHE (eV),4,XGB,0.14395805724758082,0.03498991175641299,0.8455953466463048
