target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.178969566828265,0.05448340386941023,0.8410487321330726
EA vs SHE (eV),0,RF,0.15900092975722166,0.045968689750872885,0.8658897756168815
EA vs SHE (eV),0,XGB,0.16663793338177013,0.05342139679292632,0.8441470585830019
EA vs SHE (eV),1,Linear,0.19804157920067494,0.06520421475209488,0.8156581235703413
EA vs SHE (eV),1,RF,0.17855358385915618,0.05488780092736728,0.8448241382168723
EA vs SHE (eV),1,XGB,0.17598051714117915,0.05311845068964306,0.8498263507904524
EA vs SHE (eV),2,Linear,0.2568882898108289,0.5413255268303264,-0.3827128902661119
EA vs SHE (eV),2,RF,0.17743466359417878,0.06811763247999963,0.82600648996546
EA vs SHE (eV),2,XGB,0.1703439317972895,0.058601370933421215,0.8503139664383402
EA vs SHE (eV),3,Linear,0.19485282677930693,0.06440159145490497,0.8119929959188233
EA vs SHE (eV),3,RF,0.1637103038545103,0.04798189003114633,0.8599268870362482
EA vs SHE (eV),3,XGB,0.16625986977425228,0.04962453565645796,0.8551315259930644
EA vs SHE (eV),4,Linear,0.1948676522286351,0.06619170093450961,0.815217996445873
EA vs SHE (eV),4,RF,0.16840796519831927,0.05177250110855919,0.8554709072469207
EA vs SHE (eV),4,XGB,0.17118714478102512,0.05373736518030381,0.8499857555623052
IP vs SHE (eV),0,Linear,0.17531605131942543,0.05027864900412022,0.7345082438932484
IP vs SHE (eV),0,RF,0.1590309843968294,0.04089106581566903,0.7840785087206881
IP vs SHE (eV),0,XGB,0.16009024623629964,0.04145917348279481,0.7810786687251748
IP vs SHE (eV),1,Linear,0.19586560103372214,0.06784633332691883,0.7402055947181654
IP vs SHE (eV),1,RF,0.16482804750990693,0.04808121717163157,0.8158893692877767
IP vs SHE (eV),1,XGB,0.16596622814010736,0.04815646297384787,0.8156012411387942
IP vs SHE (eV),2,Linear,0.21131680771571876,0.23691622672293597,-0.023285342166675882
IP vs SHE (eV),2,RF,0.15071612573517215,0.039200061771270805,0.8306876266880612
IP vs SHE (eV),2,XGB,0.15089275124020077,0.038475992408315694,0.8338150172263649
IP vs SHE (eV),3,Linear,0.17368749898613292,0.04881837753684632,0.80187404995414
IP vs SHE (eV),3,RF,0.1538277446045944,0.03879716080439225,0.8425444529029963
IP vs SHE (eV),3,XGB,0.1562736714710877,0.040274351093808676,0.8365493800583845
IP vs SHE (eV),4,Linear,0.1784915777875631,0.052410187516212285,0.7733874536527986
IP vs SHE (eV),4,RF,0.14932510965687956,0.03675930390153873,0.8410591555982982
IP vs SHE (eV),4,XGB,0.14979789037151012,0.037144002376391844,0.8393957862212018
