target,split,model,mae,mse,r2
EA vs SHE (eV),0,Linear,0.1534918712789819,0.043278627347095124,0.8737378320772764
EA vs SHE (eV),0,RF,0.13110048341800704,0.03844491547769784,0.8878398259979515
EA vs SHE (eV),0,XGB,0.1324959783033246,0.03850193812081844,0.8876734666889248
EA vs SHE (eV),1,Linear,0.17065131528107427,0.051659471811676023,0.8539510980181927
EA vs SHE (eV),1,RF,0.12103846886103464,0.031278043871028845,0.9115723834700517
EA vs SHE (eV),1,XGB,0.12248949222924436,0.03183127150189162,0.9100083278341742
EA vs SHE (eV),2,Linear,0.23983025694647012,0.7550916757069822,-0.928737777148904
EA vs SHE (eV),2,RF,0.11587945107243852,0.03521640909246977,0.9100463946598524
EA vs SHE (eV),2,XGB,0.11222727772319058,0.034052576481629356,0.9130191832562888
EA vs SHE (eV),3,Linear,0.17115701961303142,0.05434555915328627,0.8413494832859827
EA vs SHE (eV),3,RF,0.11437578565032863,0.032061455044194456,0.9064032740004092
EA vs SHE (eV),3,XGB,0.11247948888034384,0.030704200920531787,0.9103654941226451
EA vs SHE (eV),4,Linear,0.16969293418073716,0.05282403228284135,0.8525354329436432
EA vs SHE (eV),4,RF,0.12525924550294645,0.04114949982756429,0.8851262784301214
EA vs SHE (eV),4,XGB,0.11750277336004342,0.03381675757837338,0.9055965003041913
IP vs SHE (eV),0,Linear,0.13681987060724457,0.03444727539965804,0.8181043480663399
IP vs SHE (eV),0,RF,0.10391283713174333,0.02412075455808978,0.8726325863345611
IP vs SHE (eV),0,XGB,0.1057647203605482,0.02497980944706063,0.8680964264419937
IP vs SHE (eV),1,Linear,0.16810315300952716,0.05699826660163571,0.781744568236052
IP vs SHE (eV),1,RF,0.10517732141361899,0.02878698345395984,0.8897700600820494
IP vs SHE (eV),1,XGB,0.10891977917031335,0.02845992970134215,0.8910224009380702
IP vs SHE (eV),2,Linear,0.17502850986745988,0.14579242989287639,0.37029532095869644
IP vs SHE (eV),2,RF,0.10067170845816564,0.024125815992036292,0.8957961039058238
IP vs SHE (eV),2,XGB,0.0974269562012106,0.02193008813059454,0.9052798618023563
IP vs SHE (eV),3,Linear,0.14306983862890854,0.03533492931293873,0.856595675785305
IP vs SHE (eV),3,RF,0.09974959931441518,0.02131758146638737,0.9134840956662228
IP vs SHE (eV),3,XGB,0.10094022695495398,0.021992817729490338,0.9107436968065573
IP vs SHE (eV),4,Linear,0.1522336480091221,0.04056100194365844,0.8246212736788447
IP vs SHE (eV),4,RF,0.09000462021569265,0.018723958453037454,0.9190408562947902
IP vs SHE (eV),4,XGB,0.08878746378162587,0.0177519254302381,0.9232437582279686
