target,split,model,mae,mse,r2
Conductivity,0,Linear,2.3904065846651635e-05,1.1167412288509842e-09,0.06115572815965864
Conductivity,0,RF,2.1633242729305644e-05,1.0518169504720604e-09,0.11573756438516958
Conductivity,0,XGB,2.0726661799032897e-05,1.0149464244589641e-09,0.1467346129876932
Conductivity,1,Linear,2.4748131175690933e-05,1.0981336897467288e-09,0.07522894414974424
Conductivity,1,RF,2.0092684287490732e-05,7.782049394389347e-10,0.3446504644814157
Conductivity,1,XGB,2.0489593831650882e-05,8.027198861499808e-10,0.3240056983971372
Conductivity,2,Linear,2.457023843165911e-05,1.2833817138540546e-09,0.08592445413534122
Conductivity,2,RF,2.0967879503835775e-05,9.307161552248794e-10,0.3371069040111131
Conductivity,2,XGB,2.0810600397796268e-05,8.520954623629466e-10,0.3931036912243375
Conductivity,3,Linear,2.363344859605358e-05,1.1331598024471158e-09,0.07462825104167914
Conductivity,3,RF,2.03376914812131e-05,8.246461370452055e-10,0.3265696184586826
Conductivity,3,XGB,2.0013002762581857e-05,8.37140743786032e-10,0.316366153715814
Conductivity,4,Linear,2.409021429358664e-05,1.2331768413617437e-09,0.007555851816117398
Conductivity,4,RF,2.1515088150256754e-05,9.865960941072713e-10,0.20600072319180684
Conductivity,4,XGB,2.0540083292244507e-05,8.132430835256653e-10,0.3455128962648867
TFSI Diffusivity,0,Linear,9.919346968272398e-09,1.77178742857056e-16,0.21151059411880935
TFSI Diffusivity,0,RF,8.317567511785206e-09,1.333661546193941e-16,0.4064874920952334
TFSI Diffusivity,0,XGB,8.24421371383146e-09,1.2582260607937236e-16,0.4400581564460715
TFSI Diffusivity,1,Linear,1.0075357141664886e-08,1.7710217045856594e-16,0.1934436192163076
TFSI Diffusivity,1,RF,8.267470354881723e-09,1.3688475198451808e-16,0.3766012587014781
TFSI Diffusivity,1,XGB,8.316062814923045e-09,1.2933559325874003e-16,0.4109815383110367
TFSI Diffusivity,2,Linear,1.0401798654494387e-08,2.0417511303172214e-16,0.18732418378305538
TFSI Diffusivity,2,RF,8.301626763618232e-09,1.304464846558835e-16,0.4807853816450163
TFSI Diffusivity,2,XGB,8.113203882746442e-09,1.3000891248969665e-16,0.4825270450242082
TFSI Diffusivity,3,Linear,1.0205937916144326e-08,1.7876411817753714e-16,0.13105114220594993
TFSI Diffusivity,3,RF,8.633287493122482e-09,1.32648372191582e-16,0.3552137158216411
TFSI Diffusivity,3,XGB,8.052687087756091e-09,1.2137307867119758e-16,0.4100214340914803
TFSI Diffusivity,4,Linear,1.0428319828702372e-08,1.9607851265974255e-16,0.2030939809245006
TFSI Diffusivity,4,RF,8.654733653534922e-09,1.5238245667717631e-16,0.3806843224158881
TFSI Diffusivity,4,XGB,8.43060733978385e-09,1.407174810366952e-16,0.42809333819315354
Li Diffusivity,0,Linear,5.967628659052694e-09,5.955495763926455e-17,0.15032982213154844
Li Diffusivity,0,RF,5.322958376694148e-09,4.954418650597517e-17,0.2931534261872155
Li Diffusivity,0,XGB,5.147913694909989e-09,4.7569694936892423e-17,0.3213234840498075
Li Diffusivity,1,Linear,5.837283903936223e-09,5.567316325015857e-17,0.12756041672706597
Li Diffusivity,1,RF,5.266754717320323e-09,4.9296320578481684e-17,0.22749025074918805
Li Diffusivity,1,XGB,5.069820322068248e-09,4.5831882137910654e-17,0.2817805596325783
Li Diffusivity,2,Linear,5.948986178141545e-09,6.028509768016393e-17,0.13909649047305372
Li Diffusivity,2,RF,5.006225787880607e-09,4.23539612118206e-17,0.39516273087798115
Li Diffusivity,2,XGB,4.906197323751157e-09,4.073907000740727e-17,0.4182242429080276
Li Diffusivity,3,Linear,6.033760816060306e-09,6.045248025590619e-17,0.09446981174238656
Li Diffusivity,3,RF,5.229299170424622e-09,4.913252922256772e-17,0.26403369641500063
Li Diffusivity,3,XGB,4.984164574975344e-09,4.4478575752362796e-17,0.3337462267227228
Li Diffusivity,4,Linear,5.919034361226237e-09,6.02313677403622e-17,0.1589967020261488
Li Diffusivity,4,RF,5.3615392460975305e-09,5.2880975660710715e-17,0.2616293370185184
Li Diffusivity,4,XGB,5.079445989494994e-09,4.6633835221852954e-17,0.3488574028767085
Poly Diffusivity,0,Linear,7.616189755585817e-09,1.0417159978156243e-16,0.21693598705835548
Poly Diffusivity,0,RF,5.260655155072731e-09,6.178748284585895e-17,0.5355398748958748
Poly Diffusivity,0,XGB,5.281757420950014e-09,6.635392626065414e-17,0.5012136524632866
Poly Diffusivity,1,Linear,7.591176847210927e-09,9.455343171132021e-17,0.22357735066658213
Poly Diffusivity,1,RF,4.87882974606543e-09,4.981271190912073e-17,0.5909644203180047
Poly Diffusivity,1,XGB,5.036150887935837e-09,5.26029195038601e-17,0.5680527149077568
Poly Diffusivity,2,Linear,7.762551472232001e-09,1.1139329952347893e-16,0.23207346370146043
Poly Diffusivity,2,RF,4.994150402502065e-09,5.558279844189078e-17,0.616821603562749
Poly Diffusivity,2,XGB,4.860458036837446e-09,5.012283742956029e-17,0.6544616498353731
Poly Diffusivity,3,Linear,7.460597344928297e-09,9.86893344986359e-17,0.18613144486666355
