target,split,model,mae,mse,r2
optical_lumo,0,Linear,0.20792963195028574,0.07129634677519127,0.75354935586074
optical_lumo,0,RF,0.15148069964499603,0.04596663287762494,0.8411067776400363
optical_lumo,0,XGB,0.14562347709148893,0.04415520707036872,0.8473683475128437
optical_lumo,1,Linear,0.213830134597386,0.07831509473801214,0.7510552933185867
optical_lumo,1,RF,0.15416605709485215,0.047397758144504525,0.8493340136009169
optical_lumo,1,XGB,0.1448737034383128,0.04301647776391618,0.8632610421371564
optical_lumo,2,Linear,0.2107797667709597,0.07418247730551536,0.7482907306152653
optical_lumo,2,RF,0.15777451144389362,0.047797406646207366,0.8378181648497275
optical_lumo,2,XGB,0.14537171152487144,0.04205225925056319,0.8573120791269431
optical_lumo,3,Linear,0.2151202534666797,0.08030037380757162,0.7444075272289232
optical_lumo,3,RF,0.14742096798129375,0.04275338664780661,0.8639178960880445
optical_lumo,3,XGB,0.14128318327062206,0.039038936126367337,0.8757408247836885
optical_lumo,4,Linear,0.212674984010556,0.07440928597741547,0.7577137193022199
optical_lumo,4,RF,0.15637589682605352,0.04862766005289717,0.8416620353428944
optical_lumo,4,XGB,0.14723865928305277,0.043845180329512366,0.8572344092673417
gap,0,Linear,0.25039201693584306,0.10081110211424399,0.4564174756360384
gap,0,RF,0.15211730488738878,0.04946630192992452,0.7332732535396117
gap,0,XGB,0.1458127649080211,0.04554463336315546,0.754419242964738
gap,1,Linear,0.2564281952949028,0.11422376092533836,0.4135339838198543
gap,1,RF,0.1637790841405254,0.05843994045412231,0.6999482525677262
gap,1,XGB,0.15610132328892345,0.054299747594229626,0.7212054970594904
gap,2,Linear,0.2566973641893181,0.10697205908782333,0.4246058914391191
gap,2,RF,0.15899516796808433,0.052633570466574554,0.7168882545849925
gap,2,XGB,0.1558323560946045,0.050412425730321814,0.7288356136093859
gap,3,Linear,0.2630070491709239,0.11854881143238613,0.3848509755843792
gap,3,RF,0.15845281799386457,0.05394762445536517,0.7200661216904264
gap,3,XGB,0.15051915430093601,0.04864772425900095,0.7475672699170627
gap,4,Linear,0.25993879908413275,0.10922575137753766,0.4733590653430486
gap,4,RF,0.15556473476934193,0.05017642544614128,0.7580702420314502
gap,4,XGB,0.1461069641416358,0.046529691551127364,0.7756532691353523
homo,0,Linear,0.18262044931014246,0.05634072688677609,0.7580680132657923
homo,0,RF,0.13265289001443173,0.035814246530988816,0.8462105071160427
homo,0,XGB,0.12710061176383528,0.03233536453158636,0.8611491293212677
homo,1,Linear,0.18798553759172817,0.06076724960993149,0.7753457914382459
