target,split,model,mae,mse,r2
optical_lumo,0,Linear,0.17750472818070254,0.05602884140873732,0.8063246620601802
optical_lumo,0,RF,0.1901547596990646,0.06704558403542143,0.7682430009447259
optical_lumo,0,XGB,0.2109393912143342,0.08261278336213229,0.7144317402694856
optical_lumo,1,Linear,0.1737748217883152,0.055421806471059015,0.8238275085812398
optical_lumo,1,RF,0.20005746391623921,0.07207206781989801,0.7709003629074477
optical_lumo,1,XGB,0.20615617426761754,0.0752787221968533,0.7607071857687326
optical_lumo,2,Linear,0.21740020959815803,2.383255192174086,-7.086645862592595
optical_lumo,2,RF,0.19198071849876816,0.06592438234622389,0.7763113511743804
optical_lumo,2,XGB,0.1983221439582379,0.06958622917148424,0.7638863038793291
optical_lumo,3,Linear,0.18720352588600894,0.07005022170091947,0.777033299675475
optical_lumo,3,RF,0.1849273959622055,0.060168406274624164,0.808486673059847
optical_lumo,3,XGB,0.19530189796437736,0.06591202531494493,0.7902049923706818
optical_lumo,4,Linear,0.17757474149846006,0.05395033045039002,0.8243307305595085
optical_lumo,4,RF,0.20277549698325883,0.07449693177533614,0.7574283332228072
optical_lumo,4,XGB,0.20275672853467974,0.07516358191708487,0.7552576339444944
gap,0,Linear,0.1929603862269029,0.06378133609120382,0.6560853025843063
gap,0,RF,0.1779337060078607,0.05797630972704829,0.687386526545245
gap,0,XGB,0.19122134817767053,0.0691867175518448,0.6269389998666196
gap,1,Linear,0.19390531844366526,0.07178303442320967,0.6314399921132055
gap,1,RF,0.18137233048848958,0.06207584199121169,0.681280221744666
gap,1,XGB,0.19242073747269697,0.07127827049491758,0.6340316323090698
gap,2,Linear,0.35333031936525044,44.87380517110382,-240.37259153779388
gap,2,RF,0.17880045221785515,0.05872526022318797,0.6841215449691821
gap,2,XGB,0.18946964803114158,0.06695972980557469,0.639828994884312
gap,3,Linear,0.20735822899050335,0.09010756190682692,0.5324324374937425
gap,3,RF,0.18341288669286915,0.06435145088548462,0.6660807328758992
gap,3,XGB,0.18704197515565849,0.06714819186099118,0.6515684618388565
gap,4,Linear,0.19030923924773513,0.06222324568026271,0.6999855084614992
gap,4,RF,0.18096398102189784,0.060331254808155786,0.7091078979043035
gap,4,XGB,0.18717351463120818,0.06706565143812734,0.6766374512300569
homo,0,Linear,0.13728609383890275,0.035688610942016974,0.8467499972739452
homo,0,RF,0.15890662327722735,0.04734129274921909,0.7967123670164686
homo,0,XGB,0.1683855940847767,0.053713035447925286,0.7693515490924282
homo,1,Linear,0.13993344013927164,0.037932514902080605,0.8597649363960826
homo,1,RF,0.16379146241114986,0.052485461160472355,0.805963248070429
homo,1,XGB,0.17105858291519657,0.05527100111434201,0.7956652128990056
homo,2,Linear,0.32600276539042866,67.56286305917712,-281.22788350473945
homo,2,RF,0.16226972268262102,0.0468628917397138,0.8042413516575411
