target,split,model,mae,mse,r2
optical_lumo,0,Linear,0.19183995929812758,0.06566697628022977,0.773008445243768
optical_lumo,0,RF,0.10082315908755012,0.02193056481486855,0.9241924436604817
optical_lumo,0,XGB,0.09110394591543745,0.017744331151677784,0.9386630305765818
optical_lumo,1,Linear,0.18552345261392245,0.06068079138436948,0.8071104700452371
optical_lumo,1,RF,0.09967245242133149,0.020209991287965606,0.9357573355424351
optical_lumo,1,XGB,0.09163788846637301,0.018181184588205872,0.9422064203641359
optical_lumo,2,Linear,0.18705657452348246,0.060378508649060046,0.7951291079697489
optical_lumo,2,RF,0.09837526797071028,0.01930038741119553,0.9345116718857114
optical_lumo,2,XGB,0.0886735798840473,0.015684137967862603,0.9467820022704128
optical_lumo,3,Linear,0.18956254283339957,0.0633811638618583,0.798260610375469
optical_lumo,3,RF,0.0981702086065879,0.019755331739391806,0.9371196689347419
optical_lumo,3,XGB,0.08841914894370217,0.016773011171676996,0.946612260965819
optical_lumo,4,Linear,0.18706873359832052,0.06173830893746328,0.7989720630625509
optical_lumo,4,RF,0.10393181681268185,0.02336360534833418,0.9239250723994749
optical_lumo,4,XGB,0.0953699214296715,0.019683828739888592,0.93590690204006
gap,0,Linear,0.19126482726433916,0.06182778679706301,0.6666190159800301
gap,0,RF,0.08968418027272813,0.01823298940957561,0.9016860821665583
gap,0,XGB,0.08416508915230238,0.016721007247417916,0.9098388258947993
gap,1,Linear,0.18614753040375837,0.06181932048260923,0.6825972957579525
gap,1,RF,0.09255577163570819,0.02153029547361671,0.8894556919567126
gap,1,XGB,0.08705514548043064,0.01797261128094118,0.9077221267020131
gap,2,Linear,0.1854049805817679,0.06121342538132809,0.6707379045557085
gap,2,RF,0.09291263410283145,0.018965893593564667,0.8979839826363417
gap,2,XGB,0.08559866445017691,0.015889443884100497,0.9145319583713533
gap,3,Linear,0.19100850073521486,0.06207971781127393,0.6778687412704872
gap,3,RF,0.08999691094395872,0.020613366813404824,0.8930373714255291
gap,3,XGB,0.0843576977168088,0.019445554244724054,0.8990971433763765
gap,4,Linear,0.18722855429223653,0.06196595307214754,0.7012260659116352
gap,4,RF,0.09321400168399727,0.019431457386300838,0.9063096316518203
gap,4,XGB,0.08046968427890476,0.014504696632072985,0.9300644134291451
homo,0,Linear,0.1421197984951268,0.036607286561232,0.8428051241776569
homo,0,RF,0.08870299270416268,0.015802428904736116,0.9321429943949443
homo,0,XGB,0.08148925029972573,0.01369474406060762,0.9411935766278346
homo,1,Linear,0.1445241579874256,0.03855903092321287,0.8574487305157408
homo,1,RF,0.09211589369344059,0.0189246930739748,0.9300361301178082
homo,1,XGB,0.0828928285202933,0.01523653245660306,0.9436711195218517
homo,2,Linear,0.1395402187317528,0.038247089954964966,0.8402318261919937
homo,2,RF,0.09076405471930778,0.01667958044017359,0.9303249970142018
homo,2,XGB,0.08174953023942065,0.013611052255941938,0.9431430478737666
homo,3,Linear,0.14032081015767042,0.036782478158572884,0.8587802012288248
homo,3,RF,0.09392445936398792,0.01825700428183694,0.9299054713026565
homo,3,XGB,0.08351065001601693,0.014922475896494166,0.9427078014106165
homo,4,Linear,0.14491843475319163,0.038146280020136716,0.845919193472725
homo,4,RF,0.09144149052394702,0.017540499928147633,0.9291502507087477
homo,4,XGB,0.08264377383845882,0.014854956637154318,0.9399977219699487
lumo,0,Linear,0.19835361497249268,0.06919366745398722,0.7945868165174368
lumo,0,RF,0.09349354677882106,0.02125235280408653,0.9369087720507806
lumo,0,XGB,0.08079917442552255,0.015652570574880932,0.953532679076306
lumo,1,Linear,0.18756500536753914,0.06152544987851314,0.8264905063162341
lumo,1,RF,0.09187580727082842,0.019097996917955218,0.9461412507807474
lumo,1,XGB,0.08539922671864564,0.016681357472103718,0.9529564774470111
lumo,2,Linear,0.1962212686133772,0.07151910148060481,0.7887394136125966
lumo,2,RF,0.09753777886191022,0.021227464352023225,0.9372961002908813
lumo,2,XGB,0.08600750612163721,0.017272326051339274,0.948979200600417
lumo,3,Linear,0.19297376205944003,0.06548142530412748,0.8123212244870076
lumo,3,RF,0.08869115837027901,0.016972208373491785,0.9513553153356985
lumo,3,XGB,0.08156565685371639,0.014588859781922002,0.9581863203605423
lumo,4,Linear,0.19204106767194862,0.06451674786501801,0.8154846685879602
lumo,4,RF,0.09717064462090944,0.02206412339796844,0.9368974851365728
lumo,4,XGB,0.08693046734636573,0.018075509748417627,0.9483047614450629
spectral_overlap,0,Linear,348.94224265459593,221313.906326886,0.8771748860051936
spectral_overlap,0,RF,200.1512458054547,101946.0194831972,0.9434218496606993
spectral_overlap,0,XGB,183.88355989988966,84291.52636084643,0.9532197659609541
spectral_overlap,1,Linear,360.8958160619209,248146.80938361908,0.8471799001984227
spectral_overlap,1,RF,209.1602201861314,111885.90719989908,0.9310955657775735
spectral_overlap,1,XGB,186.74722527302043,94085.39812537169,0.94205792946883
spectral_overlap,2,Linear,360.92458449299863,253280.95926688836,0.8537675864712354
spectral_overlap,2,RF,209.95192512778755,106635.07427902086,0.9384339654912273
spectral_overlap,2,XGB,192.04885217308532,96313.34283172853,0.9443932437003044
spectral_overlap,3,Linear,346.16031774791554,210852.93808626794,0.881520916866833
spectral_overlap,3,RF,201.58599906832634,106210.12630084061,0.9403201183830172
spectral_overlap,3,XGB,187.7313361366197,94983.03564551943,0.9466286641361297
spectral_overlap,4,Linear,353.80077077783,233304.55479313724,0.8756734258198344
spectral_overlap,4,RF,206.87771988694544,106602.79952077047,0.9431920183719352
spectral_overlap,4,XGB,194.1217901388999,98488.84553015638,0.9475158949614985
delta_homo,0,Linear,0.06080747417440455,0.006683748475189032,0.5547880943358756
delta_homo,0,RF,0.0434170850263367,0.003905014066113367,0.7398826780401289
delta_homo,0,XGB,0.04191602805516837,0.0037226823068077087,0.7520279989367638
delta_homo,1,Linear,0.06196882012403141,0.008152606088699743,0.47666667945687735
delta_homo,1,RF,0.04409945091231771,0.005368984111418522,0.6553533615629341
delta_homo,1,XGB,0.04438049260653257,0.005373686660910263,0.6550514947961903
delta_homo,2,Linear,0.06287263743692977,0.0076619277103335826,0.4724568640430491
delta_homo,2,RF,0.042489363708956285,0.0038922301141207424,0.732010094861631
delta_homo,2,XGB,0.041670547046885324,0.003839160378860406,0.7356640805976076
delta_homo,3,Linear,0.061285400884766965,0.007878659821259397,0.4684007732129246
delta_homo,3,RF,0.04323795634643083,0.004884292395771444,0.6704406434724015
delta_homo,3,XGB,0.041155653028459034,0.00467317322048348,0.6846855522372359
delta_homo,4,Linear,0.059609727130702214,0.00775720368094642,0.5342546754646396
delta_homo,4,RF,0.044354625736545826,0.005662749943294756,0.6600064380698802
delta_homo,4,XGB,0.0436454603698364,0.0054875431511925395,0.670525917460228
delta_lumo,0,Linear,0.07790510710512472,0.009973301359653824,0.5619573847866641
delta_lumo,0,RF,0.04719244308585548,0.0043719399037027125,0.8079777277441109
delta_lumo,0,XGB,0.04616914540875986,0.004381748657004935,0.8075469123306842
delta_lumo,1,Linear,0.07798457071521846,0.009792225854608587,0.5833533735684993
