target,split,model,mae,mse,r2
optical_lumo,0,Linear,0.16315622266246002,0.04552827938125255,0.842622037627793
optical_lumo,0,RF,0.10201534915720227,0.02147109272025613,0.9257807044733155
optical_lumo,0,XGB,0.0959700591197597,0.01909891571502022,0.9339806274342513
optical_lumo,1,Linear,0.16225802327697972,0.0457175461318904,0.8546750003933363
optical_lumo,1,RF,0.10439233521571917,0.022363815568159518,0.9289108501302694
optical_lumo,1,XGB,0.09578917200655385,0.01982692181585668,0.9369750205582266
optical_lumo,2,Linear,0.16115749820860534,0.04503451946878927,0.8471929436125911
optical_lumo,2,RF,0.10254757792548877,0.020516215828363178,0.9303862329182031
optical_lumo,2,XGB,0.09315769891832923,0.017355701104688055,0.9411102054905888
optical_lumo,3,Linear,0.16620837357628154,0.04836276314268366,0.8460635033741915
optical_lumo,3,RF,0.09957359993829881,0.02067061315144833,0.9342063694281975
optical_lumo,3,XGB,0.0925934759048956,0.017349227135789142,0.944778191507182
optical_lumo,4,Linear,0.16037575122128853,0.04456639062118717,0.8548860550683257
optical_lumo,4,RF,0.10742347573497572,0.024897562383760292,0.9189303094477596
optical_lumo,4,XGB,0.0988373966841972,0.021119079398210883,0.9312335398473426
gap,0,Linear,0.17994726490190793,0.05478829132393733,0.7045766083411762
gap,0,RF,0.09038447331118599,0.018546415601679907,0.8999960599653054
gap,0,XGB,0.08235336945869492,0.015758161572008766,0.9150305763254085
gap,1,Linear,0.17912527086716587,0.059093814636334834,0.6965910265088164
gap,1,RF,0.09240851850659075,0.021184130135276966,0.8912330297476514
gap,1,XGB,0.08515779260852775,0.017117477354967468,0.9121126929274949
gap,2,Linear,0.17678973587475588,0.05260397933190811,0.7170474229201438
gap,2,RF,0.09354458260821902,0.01929097272306358,0.8962354081251583
gap,2,XGB,0.08292446075516562,0.015868505665104695,0.914644583368541
gap,3,Linear,0.18337225423329603,0.05992626134453049,0.689043013105294
gap,3,RF,0.09110730640009623,0.02092166113705452,0.8914376341516201
gap,3,XGB,0.0858087071544598,0.0188042703442698,0.9024247614348914
gap,4,Linear,0.1797161295699929,0.05547172525006834,0.7325385189454745
gap,4,RF,0.09399598100264697,0.019882976231646504,0.9041325964405343
gap,4,XGB,0.0828715604431906,0.015354925507093229,0.9259649650502982
homo,0,Linear,0.1253705692047169,0.0292073333011489,0.8745811677766325
homo,0,RF,0.08880829237443413,0.015774224169437953,0.9322641079840485
homo,0,XGB,0.08187960717758949,0.014310116669155217,0.9385511130673818
homo,1,Linear,0.12775621533269138,0.029371063025476152,0.8914162980723856
homo,1,RF,0.09255377351665622,0.01865255361213588,0.9310422193486074
homo,1,XGB,0.08541025818514619,0.016228532508678305,0.94000373309211
homo,2,Linear,0.11945740501888202,0.02786088764660505,0.883617730258448
homo,2,RF,0.09014970096144327,0.016081126399351605,0.9328248972503435
homo,2,XGB,0.08320760204004948,0.014244084716860042,0.9404987044646036
homo,3,Linear,0.12545453172894858,0.02922256697624436,0.8878051388987073
homo,3,RF,0.09343123527933103,0.01801181097483228,0.9308468475015619
homo,3,XGB,0.08267205342326774,0.014352795626243996,0.944894987732914
homo,4,Linear,0.12507657813520995,0.02933120297146521,0.8815251340924235
homo,4,RF,0.09203556876310119,0.01772112668009266,0.9284206614642552
homo,4,XGB,0.08206138200677686,0.01450386715806975,0.9414158458360776
lumo,0,Linear,0.17872482647964444,0.05498504950123076,0.8367675182197141
lumo,0,RF,0.09715333639139347,0.022739309413833442,0.932494488169793
lumo,0,XGB,0.08666393802962054,0.017797797923029154,0.9471642064242383
lumo,1,Linear,0.17363417505079437,0.05240301461764772,0.8522169191486655
lumo,1,RF,0.09469364889089578,0.020163843095225127,0.9431354307350908
lumo,1,XGB,0.08662313662248837,0.016801580025663926,0.9526174347510408
lumo,2,Linear,0.17397093361038662,0.05422622566762642,0.8398209150428837
lumo,2,RF,0.09932861226374917,0.02092714102055912,0.9381832266920447
lumo,2,XGB,0.0871838949164852,0.017586492712485698,0.9480511823272125
lumo,3,Linear,0.17996282812886402,0.055001811310349466,0.8423572402436332
lumo,3,RF,0.0919164125350107,0.017559504197904145,0.9496720446879129
lumo,3,XGB,0.0824522153668588,0.014111660004779794,0.9595540405870518
lumo,4,Linear,0.17541862922492704,0.05214785927721739,0.8508591977218768
lumo,4,RF,0.09859463529602831,0.022311026379312725,0.9361913524355774
lumo,4,XGB,0.08908468914889975,0.01848988956340772,0.9471196516646796
spectral_overlap,0,Linear,329.5353129499114,200199.65388453842,0.8888929045707147
spectral_overlap,0,RF,203.48152421205083,105724.1291694699,0.9413250688455981
spectral_overlap,0,XGB,188.83207873733542,89172.15383260873,0.9505111082198542
spectral_overlap,1,Linear,332.59647107184446,214683.13732156032,0.8677883525776966
spectral_overlap,1,RF,209.7950597315012,112109.16764353357,0.9309580718345213
spectral_overlap,1,XGB,196.32311570326686,101968.07346015223,0.937203419211951
spectral_overlap,2,Linear,324.3214478788005,202368.6979182299,0.8831619115589597
spectral_overlap,2,RF,210.0502401230515,107189.36421746659,0.9381139447690686
spectral_overlap,2,XGB,188.75660597603238,90402.29323734937,0.9478060033928459
spectral_overlap,3,Linear,319.28080078848296,182884.0685679278,0.8972367330507571
spectral_overlap,3,RF,202.60254077404431,106030.76925482607,0.9404208998023238
spectral_overlap,3,XGB,180.7654542194764,92908.80707007299,0.9477941812119551
spectral_overlap,4,Linear,324.93109454947995,203873.80769899074,0.8913568914299355
spectral_overlap,4,RF,207.92418048565224,108248.3413663611,0.9423151191595996
spectral_overlap,4,XGB,192.39382648224884,96428.54935473781,0.9486138142263555
delta_homo,0,Linear,0.0575612761718575,0.005981284142377616,0.6015800233608833
delta_homo,0,RF,0.04373553891819326,0.003999723017205134,0.7335740096700458
delta_homo,0,XGB,0.04384719263153767,0.004162234124762952,0.7227489643895444
delta_homo,1,Linear,0.059355661639806934,0.007589342609273255,0.5128237737432702
delta_homo,1,RF,0.0438499082874728,0.0052502873896829215,0.6629727594398382
delta_homo,1,XGB,0.04315217693571484,0.005105311355636605,0.6722790828990075
delta_homo,2,Linear,0.06029869827985939,0.006855728923142682,0.5279656932148218
delta_homo,2,RF,0.04224643897072235,0.003830961223825937,0.7362286131960094
delta_homo,2,XGB,0.041015615980884865,0.003638846472287543,0.7494562006024355
delta_homo,3,Linear,0.05813449825548024,0.007157777227293787,0.5170411052300927
delta_homo,3,RF,0.0434235377148387,0.004960927415407946,0.6652698253246692
delta_homo,3,XGB,0.04165737869191936,0.004696783394244678,0.6830924957529473
delta_homo,4,Linear,0.0563006518130204,0.007089372314101881,0.5743515131240517
delta_homo,4,RF,0.0443204336998398,0.005763056622278338,0.6539839886566952
delta_homo,4,XGB,0.0436433232275946,0.005808462378585084,0.6512578105677014
delta_lumo,0,Linear,0.07500010283903208,0.00923779783959412,0.5942618217837179
delta_lumo,0,RF,0.04698606503075174,0.004286424028996918,0.8117337154604675
delta_lumo,0,XGB,0.04434371019618072,0.004018907818446946,0.8234834356639827
delta_lumo,1,Linear,0.0744427238235847,0.009057435063387204,0.6146177774783863
delta_lumo,1,RF,0.04743562069882338,0.004357281916905574,0.8146032538418961
delta_lumo,1,XGB,0.04481365477486758,0.003964738374639893,0.8313054771199155
delta_lumo,2,Linear,0.07256277601155497,0.009485899199017388,0.5884552679166745
delta_lumo,2,RF,0.04701954622100483,0.004588894836501527,0.8009112835352284
delta_lumo,2,XGB,0.044794265929119864,0.004342440678647772,0.8116036710713781
delta_lumo,3,Linear,0.07234475162988253,0.008714941965776227,0.6097652710576544
delta_lumo,3,RF,0.045928776246064736,0.004092385642760226,0.8167525373890608
delta_lumo,3,XGB,0.043367621237146714,0.003842465880976788,0.827943360102498
delta_lumo,4,Linear,0.0726307991546117,0.009287234406972883,0.6142665075638495
delta_lumo,4,RF,0.04721594638770855,0.004689861575371593,0.8052125524955027
delta_lumo,4,XGB,0.0450792354326322,0.004446289160730341,0.8153290235614354
delta_optical_lumo,0,Linear,0.08356453188909373,0.011442676129833912,0.49471136515028014
delta_optical_lumo,0,RF,0.05129662800220671,0.005038831378078906,0.7774939883486522
delta_optical_lumo,0,XGB,0.04953752635867896,0.004825646113428377,0.7869078780824086
delta_optical_lumo,1,Linear,0.08448119734120117,0.011828491925196956,0.5059518830760219
delta_optical_lumo,1,RF,0.0522172985545337,0.005673022827289018,0.7630512610725553
delta_optical_lumo,1,XGB,0.04962629761554214,0.0051366522305505685,0.7854541916378233
delta_optical_lumo,2,Linear,0.08477299333925577,0.012087581606491845,0.49645432263361433
delta_optical_lumo,2,RF,0.05327780036304688,0.006002648546179258,0.749941069555647
delta_optical_lumo,2,XGB,0.05154139235174525,0.00561844507225079,0.7659462561036267
delta_optical_lumo,3,Linear,0.08164094214371888,0.011084324345217902,0.5130947657134828
delta_optical_lumo,3,RF,0.05163992597559144,0.005291969532515353,0.7675376879260886
delta_optical_lumo,3,XGB,0.04976091803393383,0.0050131509745123355,0.7797854543284185
delta_optical_lumo,4,Linear,0.08290488552684282,0.01198223002414175,0.501495405943108
delta_optical_lumo,4,RF,0.053067492783086034,0.005995668026039077,0.7505582809378106
delta_optical_lumo,4,XGB,0.051069447054696064,0.0058211985307219626,0.7578168500658556
homo_extrapolated,0,Linear,0.15544008758276892,0.042469473387767735,0.8504396735965657
homo_extrapolated,0,RF,0.12344627655460604,0.03125432743423577,0.8899348864087762
homo_extrapolated,0,XGB,0.10568181735884244,0.024468543105089103,0.9138316771672601
homo_extrapolated,1,Linear,0.15955465848598016,0.04757719660049495,0.8478256958734492
homo_extrapolated,1,RF,0.12403845032942382,0.037754422444525176,0.879243558391255
homo_extrapolated,1,XGB,0.11433352669708974,0.03335724067137179,0.8933078186726313
homo_extrapolated,2,Linear,0.14683114258938876,0.039470752211804634,0.8585427463863303
