target,split,model,mae,mse,r2
Tg,0,Linear,22.44979276746036,964.5471365989048,0.6677804400284499
Tg,0,RF,18.995184351501052,625.3060345791092,0.784625460205153
Tg,0,XGB,20.640206586236822,794.6505791405474,0.7262980151865915
Tg,1,Linear,21.36382999174566,853.9328988645245,0.6630985564843206
Tg,1,RF,18.934714061718285,657.107592830277,0.7407518824207341
Tg,1,XGB,19.984972607594614,719.936433758339,0.7159640715386062
Tg,2,Linear,20.2496134294245,770.6014600796053,0.7217462477389613
Tg,2,RF,18.098124335104192,561.9109471062894,0.7971015660251575
Tg,2,XGB,19.475329352728753,639.5316344178985,0.7690737869247846
Tg,3,Linear,24.477289131688604,1112.8964148849532,0.5698416371098177
Tg,3,RF,20.79695176873547,774.2764968003362,0.7007255070343553
Tg,3,XGB,22.280728125384474,912.5489662736751,0.6472802282951091
Tg,4,Linear,22.69520092335512,1009.733993497734,0.6255625763871573
Tg,4,RF,18.573796822665212,634.0284755053244,0.7648846226885747
Tg,4,XGB,20.100096351180873,748.1172111353039,0.7225773491812655
