target,split,model,mae,mse,r2
Tg,0,Linear,44.99875172863268,2912.647593807321,-0.0032049914935809998
Tg,0,RF,44.1682010320318,2898.439760160661,0.0016886213358408009
Tg,0,XGB,44.584639585312104,2892.3847349241946,0.003774157380008303
Tg,1,Linear,40.48292990438593,2584.5030145562378,-0.019661846419575246
Tg,1,RF,41.251538587038944,2657.515698906847,-0.04846748066248008
Tg,1,XGB,40.377405493394384,2547.4181033990503,-0.00503076695405702
Tg,2,Linear,42.68165321404985,2768.482557496666,0.0003384374419620473
Tg,2,RF,44.35912071577526,2920.4596929330587,-0.05453844819058262
Tg,2,XGB,43.10050015675936,2811.958592646746,-0.015360170127108663
Tg,3,Linear,40.41379507470319,2604.8394344192848,-0.0068263781920978595
Tg,3,RF,44.447037509552494,3075.777969472659,-0.18885423500876497
Tg,3,XGB,41.279381603331075,2706.5493978705417,-0.04613946320399975
Tg,4,Linear,41.679753240904304,2725.9453763441147,-0.0108562950247173
Tg,4,RF,43.79943412168576,2978.2596980568483,-0.10442145691004878
Tg,4,XGB,41.917286893564686,2766.9575335925665,-0.0260647425919025
