target,split,model,mae,mse,r2
Mn_kDa,0,Linear,137.9229481369918,34208.63747866786,-26.014091795835004
Mn_kDa,0,RF,27.13471832393092,1471.6599590017906,-0.1621496836733205
Mn_kDa,0,XGB,37.53167601376488,1837.7366705294435,-0.45123544149376094
Mn_kDa,1,Linear,138.84632880345612,2217790.3861896526,-0.0036162990594148514
Mn_kDa,1,RF,141.26576856437387,2212657.522923432,-0.0012935253352157616
Mn_kDa,1,XGB,138.79936293263916,2223797.8547743885,-0.0063348577768085335
Mn_kDa,2,Linear,143.05261265847113,36955.18095825919,-35.66319002408238
Mn_kDa,2,RF,32.352856815385906,20852.527912104404,-19.687767547058957
Mn_kDa,2,XGB,29.272465354152455,1708.2759458595278,-0.6947784855216474
Mn_kDa,3,Linear,122.80111395841436,28028.036671104484,-20.213777381979305
Mn_kDa,3,RF,54.67182765381708,113954.0368640463,-85.24919391175037
Mn_kDa,3,XGB,30.02496563236297,1709.3683630613716,-0.2937816638140336
Mn_kDa,4,Linear,175.0312327170922,66830.32885116854,-12.910445050875007
Mn_kDa,4,RF,111.00045462244057,741456.1062529644,-153.33089438534552
Mn_kDa,4,XGB,140.30442451388242,2086664.083637251,-433.3301398338533
Mw_kDa,0,Linear,57.77197617744134,6998.300596844051,-0.09157308974472356
Mw_kDa,0,RF,64.10579735343556,8777.080809116549,-0.3690216767863661
Mw_kDa,0,XGB,55.19827736128138,6296.854021132602,0.017836358355504345
Mw_kDa,1,Linear,67.28554373320688,13560.726867028647,-0.03767874722252529
Mw_kDa,1,RF,66.34329160813071,13202.768488311121,-0.010287457240235831
Mw_kDa,1,XGB,63.54631561539021,12767.816246635519,0.022995470855672773
Mw_kDa,2,Linear,77.28194156441154,22550.300475032687,-0.5945629844128637
Mw_kDa,2,RF,71.79207287242167,17672.04427549319,-0.24961473093479225
Mw_kDa,2,XGB,67.108014015108,14531.831394535942,-0.027565928139686724
Mw_kDa,3,Linear,62.921833764871856,14397.726244546238,-0.04690423931462284
Mw_kDa,3,RF,67.13216068405059,14713.547608597797,-0.06986861016567603
Mw_kDa,3,XGB,62.85034397194602,12929.641125356366,0.05984487570878416
Mw_kDa,4,Linear,72.92228393501017,18808.134219444728,-0.02138648216638206
Mw_kDa,4,RF,82.28676613749258,23338.643141638368,-0.2674183594633204
Mw_kDa,4,XGB,93.43418197958226,37410.216099585276,-1.0315831742383024
Tg,0,Linear,22.44979276746036,964.5471365989048,0.6677804400284499
Tg,0,RF,18.995184351501052,625.3060345791092,0.784625460205153
Tg,0,XGB,20.640206586236822,794.6505791405474,0.7262980151865915
Tg,1,Linear,21.36382999174566,853.9328988645245,0.6630985564843206
Tg,1,RF,18.934714061718285,657.107592830277,0.7407518824207341
Tg,1,XGB,19.984972607594614,719.936433758339,0.7159640715386062
Tg,2,Linear,20.2496134294245,770.6014600796053,0.7217462477389613
Tg,2,RF,18.09812433510419,561.9109471062894,0.7971015660251575
Tg,2,XGB,19.475329352728753,639.5316344178985,0.7690737869247846
Tg,3,Linear,24.477289131688604,1112.8964148849532,0.5698416371098177
Tg,3,RF,20.796951768735468,774.2764968003362,0.7007255070343553
Tg,3,XGB,22.280728125384474,912.5489662736751,0.6472802282951091
Tg,4,Linear,22.69520092335512,1009.733993497734,0.6255625763871573
Tg,4,RF,18.573796822665212,634.0284755053244,0.7648846226885747
Tg,4,XGB,20.100096351180873,748.1172111353039,0.7225773491812655
