target,split,model,mae,mse,r2
Tg,0,Linear,18.28409227089374,638.8326588025404,0.7470545631977591
Tg,0,RF,16.041592050400908,467.2880069713412,0.8149775729102965
Tg,0,XGB,16.316270306249663,508.8803572010039,0.7985091049140075
Tg,1,Linear,16.955869457815574,512.303229097018,0.7998243861163047
Tg,1,RF,15.972148241469814,456.5529736012888,0.8216080505247854
Tg,1,XGB,18.180977614996003,579.7927976822752,0.7734537426087245
Tg,2,Linear,21.839331533439097,879.483997022334,0.6851543638945223
Tg,2,RF,20.152933205877158,790.6615246573836,0.7169518359427759
Tg,2,XGB,21.024111768871435,876.9592577899289,0.6860581928809715
Tg,3,Linear,20.857606280220114,886.332901924304,0.6535238074308956
Tg,3,RF,17.638803730445243,529.5690788177174,0.792986272163954
Tg,3,XGB,17.514839342027795,531.9652565847964,0.7920495828594569
Tg,4,Linear,22.405106389308916,839.9616177176757,0.6957888292587014
Tg,4,RF,19.370188100358437,699.6199266761324,0.7466167590533596
Tg,4,XGB,18.774507928663684,664.6926634807056,0.7592664604246449
