target,split,model,mae,mse,r2
Mn_kDa,0,Linear,135.59717035305184,81773.64660194116,-63.57552707740973
Mn_kDa,0,RF,26.375304677248675,1523.0509601704464,-0.20273245239410476
Mn_kDa,0,XGB,37.81807466020533,1896.4086416740902,-0.497567892335524
Mn_kDa,1,Linear,156.9129040566096,2241024.146807309,-0.014130268724684036
Mn_kDa,1,RF,136.97096874074072,2226018.1334637064,-0.00733960010725121
Mn_kDa,1,XGB,137.1254095018175,2227555.9288410507,-0.008035498382819473
Mn_kDa,2,Linear,99.04532879381586,156558.32384163322,-154.32132242406993
Mn_kDa,2,RF,38.342129499118144,33343.573513440184,-32.080118676350374
Mn_kDa,2,XGB,36.289113461449034,1792.3511982209382,-0.7781894410012242
Mn_kDa,3,Linear,93.96490093879093,60204.86221306441,-44.56767779661811
Mn_kDa,3,RF,61.63207313932984,70532.4592529938,-52.38439885584659
Mn_kDa,3,XGB,25.187028820703897,1364.2589712738445,-0.03257628950543867
Mn_kDa,4,Linear,204.46071452852274,411829.1363877776,-84.72046061346474
Mn_kDa,4,RF,98.9627238412696,856008.701175865,-177.17452353550033
Mn_kDa,4,XGB,142.3787402976707,2221485.382279145,-461.3926123472275
Mw_kDa,0,Linear,73.4222960701948,11888.50573304432,-0.8543320275952744
Mw_kDa,0,RF,56.014577117021275,6996.479233968349,-0.0912889992467143
Mw_kDa,0,XGB,52.62731533261564,5854.56157437764,0.08682375408023046
Mw_kDa,1,Linear,78.86208732523818,16954.243081842298,-0.2973535927523019
Mw_kDa,1,RF,64.64244166152483,14519.01272952475,-0.11100762428248334
Mw_kDa,1,XGB,64.91454286550969,13665.315696516882,-0.045681976446225736
Mw_kDa,2,Linear,93.71023529255403,30734.708936619303,-1.1732938441905776
Mw_kDa,2,RF,66.77152063101603,14168.127519631247,-0.0018479233240673576
Mw_kDa,2,XGB,64.65345143873245,13820.137454648786,0.022758936224381965
Mw_kDa,3,Linear,2.1342936301653568e+18,2.789312156939883e+38,-2.0281971418773906e+34
Mw_kDa,3,RF,60.28319801265597,11891.44926800892,0.13533509119268172
Mw_kDa,3,XGB,67.19669727117365,15400.30254989536,-0.1198047353012004
Mw_kDa,4,Linear,77.97648319497335,20570.991343544287,-0.11711944618811332
Mw_kDa,4,RF,69.62556267647058,18697.294780921515,-0.015367283085939487
Mw_kDa,4,XGB,73.54541749123966,21685.360302709,-0.17763588964585586
Tg,0,Linear,19.23236590457289,624.4906161717323,0.7849063152657432
Tg,0,RF,17.659368264840182,584.1414930635094,0.7988037884068883
Tg,0,XGB,17.80326610930978,602.4590501070284,0.7924946610352498
Tg,1,Linear,18.63380665377251,639.1117022103008,0.7478517863303762
Tg,1,RF,16.51179551362684,505.31073763887304,0.8006401707196464
Tg,1,XGB,17.356912327892374,551.0701443660488,0.7825867496589215
Tg,2,Linear,22.57864575173357,4037.4116128337914,-0.4578546614448942
Tg,2,RF,15.998437050359701,480.51284915635534,0.8264933169558408
Tg,2,XGB,16.15791540571254,501.77617192874715,0.8188154190365398
Tg,3,Linear,19.48167632470919,661.1285857422795,0.744459604416823
Tg,3,RF,19.003182834645663,668.2518692631747,0.7417063023693294
Tg,3,XGB,19.892382770448222,694.5500218926953,0.7315415016467751
Tg,4,Linear,17.43102227403035,554.2343328162376,0.7944745081438516
Tg,4,RF,15.980355290102402,459.94938493010676,0.8294379868415044
Tg,4,XGB,15.825740199170422,444.93753720062386,0.8350047971338118
