target,split,model,acc,f1_macro,logloss
Class,0,LogReg,0.9408381265406738,0.9065147475789521,0.21371232151980404
Class,0,RF,0.9679539852095317,0.9508088385967334,0.22331493651140025
Class,0,XGB,0.9778142974527527,0.9708897166928295,0.07832443410878462
Class,1,LogReg,0.9482333607230896,0.9210053835824882,0.19262819821403604
Class,1,RF,0.9638455217748562,0.9475893425714489,0.22367920095527416
Class,1,XGB,0.9728841413311422,0.9633581134629132,0.08762144511888069
Class,2,LogReg,0.9375513557929335,0.9077757351295782,0.21719461893105188
Class,2,RF,0.9548069022185702,0.9332869551203766,0.24842943240542278
Class,2,XGB,0.9720624486442071,0.9648662449437602,0.09596030624429835
Class,3,LogReg,0.9564502875924404,0.9353648797426588,0.15557326320709483
Class,3,RF,0.9737058340180772,0.9590095592228562,0.21357467142192776
Class,3,XGB,0.9745275267050123,0.9717473358505879,0.06654095787382583
Class,4,LogReg,0.9433032046014791,0.9070223790179297,0.2136232968330631
Class,4,RF,0.9687756778964667,0.9577080459725869,0.21520284977033946
Class,4,XGB,0.9786359901396877,0.967844662067131,0.08012749388946339
