target,split,model,mae,mse,r2
TC,0,Linear,0.03225154228980275,0.002394667922828735,0.531288323989697
TC,0,RF,0.026800233665418165,0.001993880515457969,0.6097349994730648
TC,0,XGB,0.028079629615574572,0.0021017984115139633,0.5886120799025885
TC,1,Linear,0.02868596135379177,0.0017410564024973576,0.5511784342780968
TC,1,RF,0.028024791706257168,0.0018119421072755146,0.5329050268455762
TC,1,XGB,0.029529683879448574,0.0023068781198866853,0.40531699707602453
TC,2,Linear,0.03293693514100444,0.003379001906287919,0.3544988156615214
TC,2,RF,0.027187980534271905,0.0026253255720828303,0.49847593666638124
TC,2,XGB,0.028069631361215285,0.002525777216369062,0.5174929669298469
TC,3,Linear,0.03063372989285527,0.0019335306390891812,0.5123456092371629
TC,3,RF,0.0252768569761362,0.0017319004258806768,0.5631986222661636
TC,3,XGB,0.030531122300476183,0.0023175924715852056,0.4154816469317437
TC,4,Linear,0.030474536903956184,0.0017582784997647591,0.5108022872197941
TC,4,RF,0.02716128522316454,0.0017156658702987247,0.5226582024648042
TC,4,XGB,0.03053366880238513,0.0019486012168966234,0.4578496759449143
VDW,0,Linear,65.25244200310497,9322.16384266517,0.7230055536800362
VDW,0,RF,19.00070350710893,1491.9300393905967,0.9556694838039907
VDW,0,XGB,18.22123788119492,1849.1392954681853,0.9450555338909102
VDW,1,Linear,61.413513029182546,8548.289863233556,0.7189220089956312
VDW,1,RF,20.11811342857141,1330.8577514873996,0.9562398059628773
VDW,1,XGB,21.611926339285716,1769.7033915287125,0.9418100366362229
VDW,2,Linear,60.84467885318895,7978.194260923658,0.7818670378743011
VDW,2,RF,16.759498571428512,1128.7513750495339,0.9691386455517936
VDW,2,XGB,16.976492917015438,1040.55729679215,0.9715499725893484
VDW,3,Linear,59.68963351493845,8748.247798935416,0.7622480177477895
VDW,3,RF,23.986773619047593,2194.2183013888503,0.9403675155712026
VDW,3,XGB,20.900268272763206,1678.4582632486467,0.9543843763475093
VDW,4,Linear,60.84967463108731,8326.290657544436,0.738965219253936
VDW,4,RF,22.49132009523812,2237.8328128169214,0.9298424446532245
VDW,4,XGB,23.461482096354164,2899.30336658095,0.9091049004005125
MW,0,Linear,75.72990804688371,12710.688070361954,0.7519838872758564
MW,0,RF,21.06350815165879,2098.000880210939,0.9590629539548655
MW,0,XGB,20.021813960504765,2819.100246693244,0.9449925699777932
MW,1,Linear,69.93184323017246,10939.182745580469,0.7489340314822539
MW,1,RF,19.67104314285709,1728.2944983477346,0.9603337888941592
MW,1,XGB,17.54212284778414,1667.82494450409,0.9617216299655339
MW,2,Linear,70.24885115479636,10344.015632721217,0.8040797609913487
MW,2,RF,14.772851428571544,1171.564982206026,0.9778100401741575
MW,2,XGB,15.922621856689455,1344.7479974107484,0.974529877137298
MW,3,Linear,70.83091714630557,11977.513034507043,0.780464664983919
MW,3,RF,24.66614933333326,2669.86472761614,0.9510641611713386
MW,3,XGB,24.95309797523135,3163.6915882888306,0.9420128293142674
MW,4,Linear,71.48220914625176,11301.932910525838,0.759627191772913
MW,4,RF,24.424616761904836,3090.4106173928794,0.9342722448842629
MW,4,XGB,25.34160408528646,4173.058046306333,0.9112461833363843
