target,split,model,mae,mse,r2
TC,0,Linear,0.028316108846764023,0.0017803960111181588,0.6515206177950994
TC,0,RF,0.0229053730846635,0.001392904047050176,0.727364957708537
TC,0,XGB,0.024857320949477277,0.0016476827547381595,0.677496767654398
TC,1,Linear,0.025970951895531953,0.0013046373007716296,0.663681569883886
TC,1,RF,0.021060917234533325,0.0011909104321613888,0.6929988689450088
TC,1,XGB,0.02557162893385535,0.0017366298407224222,0.5523195439996094
TC,2,Linear,0.029192099943363695,0.0039243051262288445,0.25032785510644295
TC,2,RF,0.023822838252016674,0.002348181671985562,0.5514195930200714
TC,2,XGB,0.024106066453789432,0.002542169721698601,0.5143614559399297
TC,3,Linear,0.024791171271274743,0.001464790757549837,0.630566162217896
TC,3,RF,0.021344698453995406,0.0012644417712788342,0.6810960379099417
TC,3,XGB,0.023093313865972208,0.001560756150381749,0.606362798573342
TC,4,Linear,0.03322251792993956,0.004438563535733456,-0.23492104919723134
TC,4,RF,0.023513334175809527,0.0010738827687508362,0.7012185530692268
TC,4,XGB,0.027449539156138934,0.001477210954799587,0.5890024131680474
