target,split,model,mae,mse,r2
TC,0,Linear,0.03301464421932955,0.0030289181950864377,0.40714563794714476
TC,0,RF,0.023944582755970025,0.0017334762533768838,0.6607042870960738
TC,0,XGB,0.026721999589125304,0.0021297783956445737,0.5831355187762723
TC,1,Linear,0.027662967717113875,0.0018218465666179394,0.5303517867878045
TC,1,RF,0.0232752904080877,0.0013177401350923511,0.6603038305948052
TC,1,XGB,0.026965068313158834,0.0019782201566362714,0.49004072081147443
TC,2,Linear,0.03267443103790205,0.002773748157449035,0.4701223111599325
TC,2,RF,0.025606115328198818,0.0025450824071486444,0.5138050366303962
TC,2,XGB,0.025205871460552674,0.002358107462550691,0.5495234385510954
TC,3,Linear,0.03127757879407734,0.0025561119444296046,0.3553248199006498
TC,3,RF,0.024546018698024728,0.001611994106163192,0.5934401100959033
TC,3,XGB,0.028089656032781216,0.0018774473158589123,0.526490344401378
TC,4,Linear,0.03054544347776855,0.0020031521617228333,0.4426722183108982
TC,4,RF,0.02432027640341618,0.0011119824856049715,0.690618244673765
TC,4,XGB,0.02931110196809772,0.001859405144516931,0.48266628753571816
