target,split,model,mae,mse,r2
TC,0,Linear,0.028761967054986372,0.0023150709405314078,0.5468679518045935
TC,0,RF,0.02324482729958294,0.0016721718215826431,0.6727034886134162
TC,0,XGB,0.023213607862623116,0.0014185071827314065,0.7223536204279621
TC,1,Linear,0.026047325119416716,0.0014670587300979843,0.6218114500460226
TC,1,RF,0.023267203193523805,0.001358406638724931,0.6498205379188016
TC,1,XGB,0.026089857388478962,0.0017668519810290994,0.544528671565808
TC,2,Linear,0.029596084596575818,0.002616433366800303,0.5001746421422707
TC,2,RF,0.024782830502085712,0.002382268686681522,0.5449078451823861
TC,2,XGB,0.02640459165413003,0.0026148625874800216,0.5004747129737459
TC,3,Linear,0.025232394803095137,0.001327573233518038,0.665173696606507
TC,3,RF,0.02341221848797144,0.0015611313677655009,0.6062681652631798
TC,3,XGB,0.02656879293381934,0.002065727670993,0.4790042896064173
TC,4,Linear,0.028966610291526175,0.0024084461530155723,0.32990914148860007
TC,4,RF,0.024241737888485704,0.0012181782645793637,0.661071883168386
TC,4,XGB,0.026104703286044275,0.001467983554744357,0.5915697101022533
