target,split,test/accuracy,test/f1,test/roc_auc,model
Class,0,0.96875,0.953641589089081,0.9990534000658446,LogReg
Class,0,0.9662828947368421,0.9440330530182252,0.9993493641458342,RF
Class,0,0.9761513157894737,0.9685907265632107,0.9996042354939503,XGB
Class,1,0.9638157894736842,0.9517405998446987,0.998959295132878,LogReg
Class,1,0.9605263157894737,0.9463054759174268,0.9994396437703814,RF
Class,1,0.9720394736842105,0.958368262769867,0.9996217411345008,XGB
Class,2,0.9638157894736842,0.9481763762274541,0.9983862858645395,LogReg
Class,2,0.9564144736842105,0.9296141065814227,0.999005616446777,RF
Class,2,0.96875,0.9611319885300006,0.998842902159723,XGB
Class,3,0.9654605263157895,0.9354878952163335,0.9984926997231132,LogReg
Class,3,0.9547697368421053,0.9209410498758064,0.9994114402466374,RF
Class,3,0.9786184210526315,0.9702717673531627,0.9994207988580153,XGB
Class,4,0.9736842105263158,0.9544232738854674,0.9976636016076796,LogReg
Class,4,0.9588815789473685,0.9187388624230632,0.9978188220518541,RF
Class,4,0.977796052631579,0.9594491192805943,0.9989322429565364,XGB
